,,,,,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals
Rk,Season,Column2,Tm,Column1,Lg,G,W,L,State,Team,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
176,2011-12,2012,MIL,2011WIBucks,NBA,66,31,35,WI,Bucks,0.47,15865,2502,5652,2066,4387,436,1265,1095,1415,820,1983,2803,1550,548,335,929,1273,6535
205,2012-13,2013,PHO,2012AZSuns,NBA,82,25,57,AZ,Suns,0.305,19805,3061,6917,2581,5462,480,1455,1203,1618,959,2454,3413,1855,659,434,1278,1688,7805
24,2012-13,2013,LAC*,2012CAClippers,NBA,82,56,26,CA,Clippers,0.683,19730,3160,6608,2533,4856,627,1752,1342,1888,938,2475,3413,1958,784,461,1197,1716,8289
191,2012-13,2013,SAC,2012CAKings,NBA,82,28,54,CA,Kings,0.341,19830,3086,6904,2476,5223,610,1681,1437,1869,943,2385,3328,1708,671,342,1199,1717,8219
88,2012-13,2013,LAL*,2012CALakers,NBA,82,45,37,CA,Lakers,0.549,19755,3041,6640,2326,4625,715,2015,1584,2289,942,2732,3674,1818,576,429,1232,1467,8381
77,2012-13,2013,GSW*,2012CAWarriors,NBA,82,47,35,CA,Warriors,0.573,19805,3130,6840,2472,5208,658,1632,1378,1744,885,2801,3686,1845,567,346,1236,1753,8296
20,2012-13,2013,DEN*,2012CONuggets,NBA,82,57,25,CO,Nuggets,0.695,19905,3339,6983,2818,5465,521,1518,1505,2148,1092,2601,3693,2002,762,533,1253,1682,8704
5,2012-13,2013,MIA*,2012FLHeat,NBA,82,66,16,FL,Heat,0.805,19880,3148,6348,2431,4539,717,1809,1423,1887,676,2490,3166,1890,710,441,1143,1533,8436
230,2012-13,2013,ORL,2012FLMagic,NBA,82,20,62,FL,Magic,0.244,19780,3093,6904,2587,5367,506,1537,1026,1359,890,2612,3502,1871,528,358,1191,1591,7718
93,2012-13,2013,ATL*,2012GAHawks,NBA,82,44,38,GA,Hawks,0.537,19855,3084,6644,2378,4743,706,1901,1158,1619,758,2593,3351,2007,664,369,1219,1473,8032
86,2012-13,2013,CHI*,2012ILBulls,NBA,82,45,37,IL,Bulls,0.549,19830,2926,6698,2480,5433,446,1265,1343,1738,1026,2514,3540,1886,588,417,1171,1617,7641
59,2012-13,2013,IND*,2012INPacers,NBA,81,49,32,IN,Pacers,0.605,19590,2845,6525,2290,4926,555,1599,1429,1915,1043,2671,3714,1645,580,513,1227,1623,7674
195,2012-13,2013,NOH,2012LAHornets,NBA,82,27,55,LA,Hornets,0.329,19780,2955,6589,2420,5115,535,1474,1269,1636,988,2426,3414,1721,520,440,1193,1673,7714
117,2012-13,2013,BOS*,2012MACeltics,NBA,81,41,40,MA,Celtics,0.506,19840,3001,6459,2503,5069,498,1390,1318,1698,654,2533,3187,1843,667,365,1181,1717,7818
183,2012-13,2013,DET,2012MIPistons,NBA,82,29,53,MI,Pistons,0.354,19805,2979,6638,2466,5198,513,1440,1307,1870,991,2463,3454,1742,574,400,1241,1623,7778
177,2012-13,2013,MIN,2012MNTimberwolves,NBA,82,31,51,MN,Timberwolves,0.378,19730,2943,6702,2493,5227,450,1475,1515,2042,973,2473,3446,1836,700,387,1214,1509,7851
227,2012-13,2013,CHA,2012NCHornets,NBA,82,21,61,NC,Hornets,0.256,19805,2823,6649,2354,5250,469,1399,1546,2060,917,2389,3306,1587,591,479,1153,1561,7661
36,2012-13,2013,NYK*,2012NYKnicks,NBA,82,54,28,NY,Knicks,0.659,19730,2996,6689,2105,4318,891,2371,1313,1729,890,2436,3326,1579,672,294,988,1650,8196
58,2012-13,2013,BRK*,2012NYNets,NBA,82,49,33,NY,Nets,0.598,19855,2942,6544,2314,4784,628,1760,1432,1958,1047,2460,3507,1668,599,391,1206,1500,7944
211,2012-13,2013,CLE,2012OHCavaliers,NBA,82,24,58,OH,Cavaliers,0.293,19730,2993,6901,2446,5320,547,1581,1380,1826,1004,2359,3363,1694,647,334,1149,1737,7913
11,2012-13,2013,OKC*,2012OKThunder,NBA,82,60,22,OK,Thunder,0.732,19830,3126,6504,2528,4916,598,1588,1819,2196,854,2725,3579,1753,679,624,1253,1654,8669
165,2012-13,2013,POR,2012ORTrail Blazers,NBA,82,33,49,OR,Trail Blazers,0.402,19855,3009,6715,2336,4811,673,1904,1304,1680,874,2474,3348,1784,538,353,1203,1518,7995
160,2012-13,2013,PHI,2012PA76ers,NBA,82,34,48,PA,76ers,0.415,19755,3059,6895,2541,5457,518,1438,1004,1377,896,2493,3389,1867,609,384,1070,1505,7640
25,2012-13,2013,MEM*,2012TNGrizzlies,NBA,82,56,26,TN,Grizzlies,0.683,19805,2964,6679,2582,5572,382,1107,1349,1746,1059,2445,3504,1715,703,436,1144,1660,7659
161,2012-13,2013,TOR,2012TTRaptors,NBA,82,34,48,TT,Raptors,0.415,19980,2979,6685,2408,5020,571,1665,1442,1831,871,2426,3297,1765,595,392,1124,1836,7971
