Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2015 Cap,year
239  ,PIT , Gerod Holliman ,FS,20,Louisville,4,"$2,338,515","$58,515","$449,628",2015
240  ,DET , Corey Robinson ,LT,22,South Carolina,4,"$2,337,908","$57,908","$449,477",2015
241  ,CLE  from ARI, Ifo Ekpre-Olomu ,CB,21,Oregon,4,"$2,337,301","$57,301","$408,031",2015
242  ,OAK  from CAR, Dexter McDonald ,CB,23,Kansas,4,"$2,336,850","$56,850","$449,212",2015
243  ,DAL  from BAL, Laurence Gibson ,T,24,Virginia Tech,4,"$2,336,353","$56,353","$449,088",2015
244  ,SF  from DAL via IND, Trenton Brown ,LT,22,Florida,4,"$2,335,893","$55,893","$448,973",2015
245  ,TEN  from DEN via NYG, Tre McBride ,WR,22,William & Mary,4,"$2,335,433","$55,433","$448,858",2015
246  ,DAL  from IND via SF, Geoff Swaim ,TE,21,Texas,4,"$2,334,734","$54,734","$448,683",2015
247  ,NE  from GB, Darryl Roberts ,CB,24,Marshall,4,"$2,334,223","$54,223","$331,555",2015
248  ,SEA , Ryan Murphy ,FS,22,Oregon State,4,"$2,333,492","$53,492","$448,373",2015
249  ,ATL  from NE via STL, Akeem King ,SS,22,San Jose State,4,"$2,332,783","$52,783","$448,195",2015
250 (C) ,DEN , Trevor Siemian ,QB,23,Northwestern,4,"$2,332,783","$52,783","$448,195",2015
251 (C) ,DEN , Taurean Nixon ,CB,24,Tulane,4,"$2,332,783","$52,783","$448,195",2015
252 (C) ,DEN , Josh Furman ,SS,23,Oklahoma State,4,"$2,332,783","$52,783","$448,195",2015
253 (C) ,NE , Xzavier Dickson ,OLB,22,Alabama,4,"$2,332,783","$52,783","$448,195",2015
254 (C) ,SF , Rory Anderson ,TE,22,South Carolina,4,"$2,332,783","$52,783","$331,195",2015
255 (C) ,IND , Denzell Good ,RT,24,Mars Hill,4,"$2,332,783","$52,783","$448,196",2015
256 (C) ,ARI , Gerald Christian ,TE,21,Louisville,4,"$2,332,783","$52,783","$331,195",2015
