rank,team,name,salary,year
189,,"
Tony Allen
Shooting Guard
","$3,150,000  ",2011
190,,"
Stephen Curry
Point Guard
","$3,117,120  ",2011
191,,"
Brook Lopez
Center
","$3,076,983  ",2011
192,,"
Jan Vesely
Small Forward
","$3,065,040  ",2011
193,,"
Corey Brewer
Shooting Guard
","$3,059,000  ",2011
194,,"
Jerryd Bayless
Point Guard
","$3,042,280  ",2011
195,,"
Greg Monroe
Center
","$3,007,920  ",2011
196,,"
Jason Thompson
Power Forward
","$3,001,284  ",2011
197,,"
Jeff Foster
Center
","$3,000,000  ",2011
,,"
Travis Outlaw
Small Forward
","$3,000,000  ",2011
,,"
Josh McRoberts
Power Forward
","$3,000,000  ",2011
,,"
Shane Battier
Small Forward
","$3,000,000  ",2011
,,"
Chris Wilcox
Power Forward
","$3,000,000  ",2011
,,"
Shawne Williams
Small Forward
","$3,000,000  ",2011
,,"
Vince Carter
Shooting Guard
","$3,000,000  ",2011
204,,"
Brandon Rush
Shooting Guard
","$2,956,658  ",2011
205,,"
Anthony Randolph
Power Forward
","$2,911,231  ",2011
206,,"
Robin Lopez
Center
","$2,862,602  ",2011
207,,"
Jordan Hill
Center
","$2,855,760  ",2011
208,,"
Bismack Biyombo
Center
","$2,798,040  ",2011
209,,"
Al-Farouq Aminu
Small Forward
","$2,755,560  ",2011
210,,"
Eduardo Najera
Power Forward
","$2,750,000  ",2011
211,,"
Marreese Speights
Power Forward
","$2,721,254  ",2011
212,,"
Dahntay Jones
Small Forward
","$2,700,000  ",2011
213,,"
Roy Hibbert
Center
","$2,588,590  ",2011
214,,"
Brandon Knight
Point Guard
","$2,563,320  ",2011
215,,"
Ersan Ilyasova
Power Forward
","$2,541,000  ",2011
216,,"
Gordon Hayward
Shooting Guard
","$2,532,960  ",2011
217,,"
Kenyon Martin
Power Forward
","$2,500,000  ",2011
,,"
Aaron Gray
Center
","$2,500,000  ",2011
,,"
DeShawn Stevenson
Small Forward
","$2,500,000  ",2011
,,"
Jason Smith
Power Forward
","$2,500,000  ",2011
