rank,team,name,salary,year
129,,"
E'Twaun Moore
Shooting Guard
","$8,808,685  ",2018
130,,"
Kosta Koufos
Center
","$8,739,500  ",2018
131,,"
Fred VanVleet
Point Guard
","$8,653,847  ",2018
,,"
Jerami Grant
Small Forward
","$8,653,847  ",2018
133,,"
Kyle Anderson
Small Forward
","$8,641,000  ",2018
,,"
Julius Randle
Power Forward
","$8,641,000  ",2018
135,,"
Jerryd Bayless
Point Guard
","$8,575,916  ",2018
136,,"
Cristiano Felicio
Power Forward
","$8,470,980  ",2018
137,,"
Markelle Fultz
Point Guard
","$8,339,880  ",2018
138,,"
Joe Harris
Shooting Guard
","$8,333,333  ",2018
,,"
C.J. Miles
Small Forward
","$8,333,333  ",2018
140,,"
Shaun Livingston
Point Guard
","$8,307,692  ",2018
141,,"
Deandre Ayton
Center
","$8,165,160  ",2018
142,,"
Garrett Temple
Shooting Guard
","$8,000,000  ",2018
,,"
Louis Williams
Shooting Guard
","$8,000,000  ",2018
144,,"
P.J. Tucker
Small Forward
","$7,969,537  ",2018
145,,"
Cory Joseph
Point Guard
","$7,945,000  ",2018
146,,"
JaMychal Green
Power Forward
","$7,866,667  ",2018
147,,"
Karl-Anthony Towns
Center
","$7,839,435  ",2018
148,,"
Kyle Korver
Shooting Guard
","$7,560,000  ",2018
149,,"
Jeremy Lamb
Shooting Guard
","$7,488,372  ",2018
150,,"
Lonzo Ball
Point Guard
","$7,461,960  ",2018
151,,"
Doug McDermott
Small Forward
","$7,333,334  ",2018
152,,"
Jae Crowder
Small Forward
","$7,305,825  ",2018
153,,"
Marvin Bagley III
Power Forward
","$7,305,600  ",2018
154,,"
D.J. Augustin
Point Guard
","$7,250,000  ",2018
155,,"
Dewayne Dedmon
Center
","$7,200,000  ",2018
156,,"
Lance Thomas
Small Forward
","$7,119,650  ",2018
157,,"
D'Angelo Russell
Point Guard
","$7,019,698  ",2018
158,,"
Boban Marjanovic
Center
","$7,000,000  ",2018
,,"
Ersan Ilyasova
Power Forward
","$7,000,000  ",2018
,,"
Davis Bertans
Small Forward
","$7,000,000  ",2018
,,"
Langston Galloway
Shooting Guard
","$7,000,000  ",2018
162,,"
Al-Farouq Aminu
Power Forward
","$6,957,105  ",2018
163,,"
Jayson Tatum
Small Forward
","$6,700,800  ",2018
164,,"
Luka Doncic
Point Guard
","$6,560,640  ",2018
165,,"
Nemanja Bjelica
Power Forward
","$6,500,000  ",2018
,,"
Mario Hezonja
Shooting Guard
","$6,500,000  ",2018
167,,"
Ben Simmons
Point Guard
","$6,434,520  ",2018
168,,"
Marco Belinelli
Shooting Guard
","$6,153,846  ",2018
169,,"
Josh Jackson
Small Forward
","$6,041,520  ",2018
170,,"
Jonathon Simmons
Small Forward
","$6,000,000  ",2018
,,"
Ishmael Smith
Point Guard
","$6,000,000  ",2018
,,"
Montrezl Harrell
Power Forward
","$6,000,000  ",2018
173,,"
Jaren Jackson Jr.
Power Forward
","$5,915,040  ",2018
174,,"
Brandon Ingram
Small Forward
","$5,757,120  ",2018
175,,"
Anthony Tolliver
Power Forward
","$5,750,000  ",2018
176,,"
Kristaps Porzingis
Power Forward
","$5,697,054  ",2018
177,,"
De'Aaron Fox
Point Guard
","$5,470,920  ",2018
178,,"
Patrick Patterson
Power Forward
","$5,451,600  ",2018
179,,"
Marcus Morris
Power Forward
","$5,375,000  ",2018
180,,"
Trae Young
Point Guard
","$5,356,440  ",2018
181,,"
DeMarcus Cousins
Center
","$5,337,000  ",2018
,,"
Dwight Howard
Center
","$5,337,000  ",2018
183,,"
Thabo Sefolosha
Small Forward
","$5,250,000  ",2018
184,,"
Aron Baynes
Center
","$5,193,600  ",2018
185,,"
Jaylen Brown
Shooting Guard
","$5,169,960  ",2018
186,,"
Patrick Beverley
Point Guard
","$5,027,027  ",2018
187,,"
Mike Muscala
Power Forward
","$5,000,000  ",2018
,,"
Tony Parker
Point Guard
","$5,000,000  ",2018
,,"
Dirk Nowitzki
Power Forward
","$5,000,000  ",2018
190,,"
Jonathan Isaac
Power Forward
","$4,969,080  ",2018
191,,"
Mohamed Bamba
Center
","$4,865,040  ",2018
192,,"
Willie Cauley-Stein
Center
","$4,696,875  ",2018
193,,"
Dragan Bender
Power Forward
","$4,661,280  ",2018
194,,"
Lauri Markkanen
Power Forward
","$4,536,120  ",2018
195,,"
Ed Davis
Power Forward
","$4,449,000  ",2018
,,"
Lance Stephenson
Shooting Guard
","$4,449,000  ",2018
,,"
Kyle O'Quinn
Center
","$4,449,000  ",2018
198,,"
Wendell Carter Jr.
Power Forward
","$4,441,200  ",2018
199,,"
Justin Holiday
Shooting Guard
","$4,384,615  ",2018
200,,"
Alex Len
Center
","$4,350,000  ",2018
201,,"
Mike Scott
Power Forward
","$4,320,500  ",2018
202,,"
Emmanuel Mudiay
Point Guard
","$4,294,480  ",2018
203,,"
Kris Dunn
Point Guard
","$4,221,000  ",2018
204,,"
Frank Ntilikina
Point Guard
","$4,155,720  ",2018
205,,"
Glenn Robinson III
Shooting Guard
","$4,075,000  ",2018
206,,"
Collin Sexton
Point Guard
","$4,068,600  ",2018
207,,"
Stanley Johnson
Small Forward
","$3,940,402  ",2018
208,,"
Buddy Hield
Shooting Guard
","$3,833,760  ",2018
209,,"
Dennis Smith Jr.
Point Guard
","$3,819,960  ",2018
210,,"
Kevin Knox
Small Forward
","$3,739,920  ",2018
211,,"
Jose Barea
Point Guard
","$3,710,850  ",2018
212,,"
Nene Hilario
Center
","$3,651,480  ",2018
213,,"
Zach Collins
Center
","$3,628,920  ",2018
214,,"
Frank Kaminsky
Power Forward
","$3,627,842  ",2018
215,,"
Mikal Bridges
Small Forward
","$3,552,960  ",2018
216,,"
Jamal Murray
Point Guard
","$3,499,800  ",2018
217,,"
Rodney Hood
Shooting Guard
","$3,472,887  ",2018
218,,"
Justise Winslow
Small Forward
","$3,448,926  ",2018
219,,"
Malik Monk
Shooting Guard
","$3,447,480  ",2018
220,,"
Myles Turner
Center
","$3,410,284  ",2018
221,,"
Brook Lopez
Center
","$3,382,000  ",2018
,,"
Allonzo Trier
Shooting Guard
","$3,382,000  ",2018
223,,"
Shai Gilgeous-Alexander
Point Guard
","$3,375,360  ",2018
224,,"
Trey Lyles
Power Forward
","$3,364,249  ",2018
225,,"
Ekpe Udoh
Center
","$3,360,000  ",2018
226,,"
Devin Booker
Shooting Guard
","$3,314,365  ",2018
227,,"
Luke Kennard
Shooting Guard
","$3,275,280  ",2018
228,,"
Troy Daniels
Shooting Guard
","$3,258,549  ",2018
229,,"
Kelly Oubre Jr.
Small Forward
","$3,208,630  ",2018
230,,"
Miles Bridges
Small Forward
","$3,206,640  ",2018
231,,"
Marquese Chriss
Power Forward
","$3,206,160  ",2018
232,,"
Tomas Satoransky
Shooting Guard
","$3,129,187  ",2018
233,,"
Bryn Forbes
Shooting Guard
","$3,125,000  ",2018
234,,"
Donovan Mitchell
Shooting Guard
","$3,111,480  ",2018
235,,"
Terry Rozier
Point Guard
","$3,050,390  ",2018
236,,"
Jerome Robinson
Shooting Guard
","$3,046,200  ",2018
237,,"
Yogi Ferrell
Point Guard
","$3,000,000  ",2018
,,"
Elfrid Payton
Point Guard
","$3,000,000  ",2018
239,,"
Edrice Adebayo
Center
","$2,955,840  ",2018
240,,"
Jakob Poeltl
Center
","$2,947,320  ",2018
241,,"
Michael Porter Jr.
Power Forward
","$2,894,160  ",2018
242,,"
Justin Jackson
Small Forward
","$2,807,880  ",2018
243,,"
Thon Maker
Center
","$2,799,720  ",2018
244,,"
Seth Curry
Shooting Guard
","$2,795,000  ",2018
245,,"
Cedi Osman
Small Forward
","$2,775,000  ",2018
246,,"
Sam Dekker
Small Forward
","$2,760,095  ",2018
