pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
27,DEN *Traded to UTH,Rudy Gobert,C,"7' 1""",245,France,,2,"$2,206,200","$1,078,800",2013
28,SAS ,Livio Jean-Charles,PF,"6' 9""",217,France,,2,"$2,431,080",-,2013
29,OKC *Traded to POR,Archie Goodwin,SG,"6' 5""",205,United States,Kentucky,2,"$2,176,680","$1,064,400",2013
30,PHX  from MIA via CLE via LAL*Traded to GSW,Nemanja Nedovic,PG,"6' 3""",192,Serbia,,2,"$2,160,960","$1,056,720",2013
31,CLE  from ORL*Traded to BKN,Allen Crabbe,SG,"6' 6""",212,United States,California,3,"$2,634,276","$825,000",2013
32,OKC  from CHA via OKC via BOS via HOU,Alex Abrines,SG,"6' 6""",200,Spain,,,-,-,2013
33,CLE *Traded to WAS,Carrick Felix,SG,"6' 6""",203,United States,Arizona State,4,"$3,289,454","$510,000",2013
34,HOU  from PHX*Traded to PHX,Isaiah Canaan,PG,"6' 0""",200,United States,Murray State,3,"$2,334,273","$570,515",2013
35,PHI  from NOH*Traded to WAS,Glen Rice Jr.,SF,"6' 6""",206,United States,,2,"$1,306,662","$490,180",2013
36,SAC *Traded to CHA,Ray McCallum,PG,"6' 3""",190,United States,Detroit,3,"$2,288,374","$524,616",2013
37,DET *Traded to MIA,Tony Mitchell,PF,"6' 8""",235,United States,North Texas,3,"$2,263,758","$500,000",2013
38,WAS *Traded to UTH,Nate Wolters,PG,"6' 4""",190,United States,South Dakota State,3,"$2,263,758","$500,000",2013
39,POR  from MIN via CLE via BOS*Traded to DAL,Jeff Withey,C,"7' 0""",231,United States,Kansas,2,"$1,306,662","$490,180",2013
40,POR ,Grant Jerrett,PF,"6' 10""",235,United States,Arizona,1,"$28,834","$28,834",2013
41,MEM  from TOR via DAL via TOR*Traded to DEN,Jamaal Franklin,SG,"6' 5""",191,United States,San Diego State,3,"$2,298,758","$535,000",2013
42,PHI  from PHI*Traded to DAL,Pierre Jackson,PG,"5' 11""",176,United States,Baylor,1,"$507,336",-,2013
43,MIL *Traded to NYK,Ricky Ledo,SG,"6' 7""",195,United States,Providence,4,"$3,323,454","$544,000",2013
44,DAL *Traded to PHI,Mike Muscala,PF,"6' 11""",240,United States,Bucknell,3,"$1,925,229","$161,471",2013
45,POR  from BOS,Marko Todorovic,SF,"6' 11""",245,Yugoslavia,,,-,-,2013
46,UTH ,Erick Green,PG,"6' 4""",184,United States,Virginia Tech,,-,-,2013
47,ATL *Traded to UTH,Raul Neto,PG,"6' 1""",179,Brazil,,3,"$2,732,546",-,2013
48,LAL  from HOU*Traded to HOU,Ryan Kelly,PF,"6' 11""",230,United States,Duke,2,"$1,506,662","$490,180",2013
49,CHI *Traded to BOS,Erik Murphy,PF,"6' 10""",240,Finland,Florida,2,"$1,306,662","$490,180",2013
50,ATL *Traded to HOU,James Ennis,SF,"6' 7""",210,United States,Long Beach State,3,"$2,332,826",-,2013
51,ORL  from GSW via NYK via DEN,Romero Osby,PF,"6' 8""",232,United States,Oklahoma,1,"$490,180","$490,180",2013
52,MIN  from BKN via MIN via NOH*Traded to TOR,Lorenzo Brown,PG,"6' 5""",189,United States,North Carolina State,1,"$490,180","$490,180",2013
53,IND ,Colton Iverson,C,"7' 0""",255,United States,Colorado State,,-,-,2013
54,WAS  from NYK,Arsalan Kazemi,PF,"6' 7""",226,Iran,Oregon,,-,-,2013
55,MEM *Traded to SAS,Joffrey Lauvergne,PF,"6' 11""",220,France,,3,"$5,209,719",-,2013
56,DET  from LAC*Traded to ORL,Peyton Siva,PG,"6' 0""",185,United States,Louisville,2,"$1,306,662","$490,180",2013
57,PHX  from DEN via LAL,Alex Oriakhi,C,"6' 9""",255,United States,Missouri,,-,-,2013
58,SAS ,Deshaun Thomas,SF,"6' 7""",215,United States,Ohio State,,-,-,2013
59,MIN  from OKC,Bojan Dubljevic,PF,"6' 9""",243,Montenegro,,,-,-,2013
60,MEM  from MIA,Janis Timma,SF,"6' 7""",220,Latvia,,,-,-,2013
