,index,Player,state
333,DePaul University,Ron Feiereisel,IL
334,DePaul University,Ron Sobie,IL
335,DePaul University,Howie Carl,IL
336,DePaul University,Em Bryant,IL
337,DePaul University,Bill Robinzine,IL
338,DePaul University,Dave Corzine,IL
339,DePaul University,Gary Garland,IL
340,DePaul University,Mark Aguirre,IL
341,DePaul University,Terry Cummings,IL
342,DePaul University,Tyrone Corbin,IL
343,DePaul University,Dallas Comegys,IL
344,DePaul University,Kevin Edwards,IL
345,DePaul University,Stanley Brundy,IL
346,DePaul University,Stephen Howard,IL
347,DePaul University,Paul McPherson,IL
348,DePaul University,Quentin Richardson,IL
349,DePaul University,Steven Hunter,IL
350,DePaul University,Bobby Simmons,IL
351,DePaul University,Andre Brown,IL
352,DePaul University,Wilson Chandler,IL
353,DePaul University,Anthony Brown,IL
354,Delaware State University,Emanual Davis,DE
355,Delta State University,Todd Mundt,MS
356,Delta State University,Jeremy Richardson,MS
357,Drake University,Gene Ollrich,IA
358,Drake University,John Pritchard,IA
359,Drake University,John Rennicke,IA
360,Drake University,McCoy McLemore,IA
361,Drake University,Willie McCarter,IA
362,Drake University,Gary Zeller,IA
363,Drake University,Jeff Halliburton,IA
364,Drake University,Dennis Bell,IA
365,Drake University,Willie Wise,IA
366,Drake University,Wayne Kreklow,IA
367,Drake University,Lewis Lloyd,IA
368,Drake University,Alvin Williams,IA
369,Drake University,Alan Williams,IA
370,Drexel University,Michael Anderson,
371,Drexel University,Malik Rose,
372,Duke University,Dick Groat,NC
373,Duke University,Doug Kistler,NC
374,Duke University,Art Heyman,NC
375,Duke University,Jeff Mullins,NC
376,Duke University,Jack Marin,NC
377,Duke University,Joe Kennedy,NC
378,Duke University,Gary Melchionni,NC
379,Duke University,Bob Verga,NC
380,Duke University,Randy Denton,NC
381,Duke University,Tate Armstrong,NC
382,Duke University,Mark Crow,NC
383,Duke University,Jim Spanarkel,NC
384,Duke University,Mike Gminski,NC
385,Duke University,Gene Banks,NC
386,Duke University,Kenny Dennard,NC
387,Duke University,Vince Taylor,NC
388,Duke University,Mark Alarie,NC
389,Duke University,Johnny Dawkins,NC
390,Duke University,Dave Henderson,NC
391,Duke University,Martin Nessley,NC
392,Duke University,Alaa Abdelnaby,NC
393,Duke University,Danny Ferry,NC
394,Duke University,Christian Laettner,NC
395,Duke University,Bobby Hurley,NC
396,Duke University,Grant Hill,NC
397,Duke University,Roshown McLeod,NC
398,Duke University,William Avery,NC
399,Duke University,Elton Brand,NC
400,Duke University,Trajan Langdon,NC
401,Duke University,Corey Maggette,NC
402,Duke University,Shane Battier,NC
403,Duke University,Carlos Boozer,NC
404,Duke University,Luol Deng,NC
405,Duke University,Chris Duhon,NC
406,Duke University,Daniel Ewing,NC
407,Duke University,Shavlik Randolph,NC
408,Duke University,Josh McRoberts,NC
409,Duke University,DeMarcus Nelson,NC
410,Duke University,Kyrie Irving,NC
411,Duke University,Nolan Smith,NC
412,Duke University,Lance Thomas,NC
413,Duke University,Miles Plumlee,NC
414,Duke University,Austin Rivers,NC
415,Duke University,Kyle Singler,NC
416,Duke University,Seth Curry,NC
417,Duke University,Ryan Kelly,NC
418,Duke University,Mason Plumlee,NC
419,Duke University,Andre Dawkins,NC
420,Duke University,Rodney Hood,NC
421,Duke University,Jabari Parker,NC
422,Duke University,Tyus Jones,NC
423,Duke University,Jahlil Okafor,NC
424,Duke University,Justise Winslow,NC
425,Duke University,Quinn Cook,NC
426,Duke University,Brandon Ingram,NC
427,Duke University,Marshall Plumlee,NC
428,Duquesne University,Chuck Cooper,PA
429,Duquesne University,Ed Dahler,PA
430,Duquesne University,Jim Tucker,PA
431,Duquesne University,Dick Ricketts,PA
432,Duquesne University,Si Green,PA
433,Duquesne University,Willie Somerset,PA
434,Duquesne University,Moe Barr,PA
435,Duquesne University,Bill Zopf,PA
436,Duquesne University,Barry Nelson,PA
437,Duquesne University,Mike Barr,PA
438,Duquesne University,Norm Nixon,PA
439,Duquesne University,Sidney Green,PA
440,Duquesne University,Derrick Alston,PA
441,Duquesne University,Mike James,PA
442,East Carolina University,Ollie Mack,NC
443,East Carolina University,Blue Edwards,NC
444,East Carolina University,Jonathan Kerner,NC
445,East Central University,Claude Overton,OK
446,East Tennessee State University,Keith Jennings,TN
447,East Texas State University,Bob Carpenter,
448,East Texas State University,Jake Carter,
449,East Texas State University,Lee Johnson,
450,Eastern Illinois University,Kevin Duckworth,IL
451,Eastern Illinois University,Jay Taylor,IL
452,Eastern Kentucky University,Freddie Lewis,KY
453,Eastern Kentucky University,Tex Ritter,KY
454,Eastern Kentucky University,Chuck Mrazovich,KY
455,Eastern Kentucky University,Jim Baechtold,KY
456,Eastern Kentucky University,Garfield Smith,KY
457,Eastern Kentucky University,Bobby Washington,KY
458,Eastern Michigan University,Harvey Marlatt,MI
459,Eastern Michigan University,Kenny McIntosh,MI
460,Eastern Michigan University,George Gervin*,MI
461,Eastern Michigan University,Fred Cofield,MI
462,Eastern Michigan University,Grant Long,MI
463,Eastern Michigan University,Carl Thomas,MI
464,Eastern Michigan University,Charles Thomas,MI
465,Eastern Michigan University,Earl Boykins,MI
466,Eastern Michigan University,Derrick Dial,MI
467,Eastern New Mexico University,Greg Hyder,NM
468,Eastern Washington University,Rodney Stuckey,
469,Elizabeth City State University,Mike Gale,
470,Elon University,Jesse Branson,NC
471,Fairfield University,Deng Gai,CT
472,Fayetteville State University,Darrell Armstrong,NC
473,Florida Agricultural and Mechanical University,Bob Williams,FL
474,Florida Agricultural and Mechanical University,Clemon Johnson,FL
475,Florida Agricultural and Mechanical University,Clay Johnson,FL
476,Florida Agricultural and Mechanical University,Jerome James,FL
477,Florida International University,Raja Bell,FL
478,Florida International University,Carlos Arroyo,FL
479,Florida State University,Dave Fedor,FL
480,Florida State University,Dave Cowens*,FL
481,Florida State University,Willie Williams,FL
482,Florida State University,Rowland Garrett,FL
483,Florida State University,Ben Clyde,FL
484,Florida State University,Harry Davis,FL
485,Florida State University,Mickey Dillard,FL
486,Florida State University,Mitchell Wiggins,FL
487,Florida State University,Randy Allen,FL
488,Florida State University,George McCloud,FL
489,Florida State University,Tony Dawson,FL
490,Florida State University,Irving Thomas,FL
491,Florida State University,Tharon Mayes,FL
492,Florida State University,Sam Cassell,FL
493,Florida State University,Doug Edwards,FL
494,Florida State University,Charlie Ward,FL
495,Florida State University,Bob Sura,FL
496,Florida State University,Ray Allen,FL
497,Florida State University,James Collins,FL
498,Florida State University,Jason Collier,FL
499,Florida State University,Jarron Collins,FL
500,Florida State University,Jason Collins,FL
501,Florida State University,Von Wafer,FL
502,Florida State University,Alexander Johnson,FL
503,Florida State University,Al Thornton,FL
504,Florida State University,Toney Douglas,FL
505,Florida State University,Solomon Alabi,FL
506,Florida State University,Ryan Reid,FL
507,Florida State University,Chris Singleton,FL
508,Florida State University,Bernard James,FL
509,Florida State University,Malik Beasley,FL
510,Florida State University,Okaro White,FL
511,Fordham University,Fred Christ,NY
512,Fordham University,Ed Conlin,NY
513,Fordham University,Charlie Yelverton,NY
514,Fordham University,Ken Charles,NY
515,Fordham University,Dan O'Sullivan,NY
516,Fordham University,Smush Parker,NY
517,Fort Valley State University,Walt Gilmore,
518,Franklin College,Dale Hamilton,IN
519,Friendship Junior College,Harthorne Wingo,
520,Furman University,Frank Selvy,SC
521,Furman University,Clyde Mayes,SC
522,Gardner-Webb University,John Drew,NC
523,George Mason University,Rob Rose,VA
524,George Mason University,Jason Miskiri,VA
525,George Washington University,Corky Devlin,DC
526,George Washington University,Joe Holup,DC
527,George Washington University,Gene Guarilia,DC
528,George Washington University,Mike Brown,DC
529,George Washington University,Yinka Dare,DC
530,George Washington University,Wally Szczerbiak,DC
531,George Washington University,Mike Hall,DC
532,George Washington University,Pops Mensah-Bonsu,DC
533,George Washington University,Patricio Garino,DC
534,Georgetown University,Ray Corley,DC
535,Georgetown University,John Mahnken,DC
536,Georgetown University,Tommy O'Keefe,DC
537,Georgetown University,Bill Bolger,DC
538,Georgetown University,John Duren,DC
539,Georgetown University,Craig Shelton,DC
540,Georgetown University,Sleepy Floyd,DC
541,Georgetown University,Patrick Ewing*,DC
542,Georgetown University,Bill Martin,DC
543,Georgetown University,David Wingate,DC
544,Georgetown University,Reggie Williams,DC
545,Georgetown University,Ben Gillery,DC
546,Georgetown University,Jaren Jackson,DC
547,Georgetown University,Dikembe Mutombo*,DC
548,Georgetown University,Alonzo Mourning*,DC
549,Georgetown University,Robert Churchwell,DC
550,Georgetown University,Don Reid,DC
551,Georgetown University,Othella Harrington,DC
552,Georgetown University,Allen Iverson*,DC
553,Georgetown University,Jerome Williams,DC
554,Georgetown University,Jahidi White,DC
555,Georgetown University,Ruben Boumtje-Boumtje,DC
556,Georgetown University,Mike Sweetney,DC
557,Georgetown University,James White,DC
558,Georgetown University,Roy Hibbert,DC
559,Georgetown University,DaJuan Summers,DC
560,Georgetown University,Patrick Ewing,DC
561,Georgetown University,Greg Monroe,DC
562,Georgetown University,Henry Sims,DC
563,Georgetown University,Otto Porter,DC
564,Georgetown University,Hollis Thompson,DC
565,Georgia Institute of Technology,Jim Nolan,GA
566,Georgia Institute of Technology,Jim Caldwell,GA
567,Georgia Institute of Technology,Joe Barry,GA
568,Georgia Institute of Technology,Brook Steppe,GA
569,Georgia Institute of Technology,Yvon Joseph,GA
570,Georgia Institute of Technology,Mark Price,GA
571,Georgia Institute of Technology,John Salley,GA
572,Georgia Institute of Technology,Duane Ferrell,GA
573,Georgia Institute of Technology,Craig Neal,GA
574,Georgia Institute of Technology,Tom Hammonds,GA
575,Georgia Institute of Technology,Brian Oliver,GA
576,Georgia Institute of Technology,Dennis Scott,GA
577,Georgia Institute of Technology,Kenny Anderson,GA
578,Georgia Institute of Technology,Jon Barry,GA
579,Georgia Institute of Technology,Matt Geiger,GA
580,Georgia Institute of Technology,Malcolm Mackey,GA
581,Georgia Institute of Technology,Ivano Newbill,GA
582,Georgia Institute of Technology,Fred Vinson,GA
583,Georgia Institute of Technology,Travis Best,GA
584,Georgia Institute of Technology,Stephon Marbury,GA
