RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport
8,Kansas City,81,1665107,20556,54.2,2018,mlb
9,Detroit,80,1856970,23212,56.3,2018,mlb
10,Cleveland,80,1926701,24083,55.4,2018,mlb
11,Minnesota,80,1959197,24489,63.6,2018,mlb
12,Texas,81,2107107,26013,52.9,2018,mlb
13,San Diego,80,2147000,26837,64.5,2018,mlb
14,Philadelphia,79,2158124,27318,63.4,2018,mlb
15,Arizona,81,2242695,27687,56.9,2018,mlb
16,NY Mets,79,2224995,28164,67.4,2018,mlb
17,Seattle,81,2299489,28388,59.3,2018,mlb
18,Toronto,80,2325281,29066,59.0,2018,mlb
19,Atlanta,81,2555781,31552,76.8,2018,mlb
20,Washington,80,2529604,31620,76.2,2018,mlb
21,Milwaukee,81,2850875,35195,84.0,2018,mlb
22,Boston,81,2895575,35747,95.3,2018,mlb
23,Houston,81,2980549,36796,89.8,2018,mlb
24,Colorado,81,3015880,37233,73.7,2018,mlb
25,LA Angels,81,3020216,37286,82.1,2018,mlb
26,Chicago Cubs,82,3181089,38793,94.3,2018,mlb
27,San Francisco,81,3156185,38965,93.0,2018,mlb
28,St. Louis,81,3403587,42019,95.6,2018,mlb
29,NY Yankees,81,3482855,42998,86.6,2018,mlb
30,LA Dodgers,82,3857500,47042,84.0,2018,mlb
1,Pacers,41,555077,13538,74.5,2011,nba
2,Kings,41,569496,13890,80.2,2011,nba
3,Nets,41,581378,14179,80.6,2011,nba
4,Grizzlies,41,600687,14650,80.9,2011,nba
5,Pelicans,41,603088,14709,86.1,2011,nba
6,76ers,41,604823,14751,72.6,2011,nba
7,Timberwolves,41,624960,15242,78.8,2011,nba
8,Bucks,41,631910,15412,82.3,2011,nba
9,Hawks,41,641596,15648,83.6,2011,nba
10,Hornets,41,649694,15846,83.1,2011,nba
11,Rockets,41,663839,16191,89.7,2011,nba
12,Raptors,41,679208,16566,83.7,2011,nba
13,Pistons,41,683080,16660,75.5,2011,nba
14,Wizards,41,688466,16791,83.2,2011,nba
15,Nuggets,41,692968,16901,88.2,2011,nba
16,Suns,41,720249,17567,95.4,2011,nba
17,Clippers,41,727462,17742,93.1,2011,nba
18,Thunder,41,744068,18148,99.7,2011,nba
19,Spurs,41,750879,18314,98.6,2011,nba
20,Celtics,41,763584,18624,100.0,2011,nba
21,Warriors,41,766398,18692,95.4,2011,nba
22,Magic,41,777852,18972,102.6,2011,nba
23,Lakers,41,778877,18997,99.7,2011,nba
24,Jazz,41,799982,19511,98.0,2011,nba
25,NY Knicks,41,808879,19728,99.8,2011,nba
26,Heat,41,810930,19778,100.9,2011,nba
27,Mavericks,41,824162,20101,104.7,2011,nba
28,Cavaliers,41,824595,20112,97.8,2011,nba
29,Trail Blazers,41,840924,20510,102.7,2011,nba
30,Bulls,41,893462,21791,104.2,2011,nba
1,Nets,33,460719,13961,75.5,2012,nba
2,Pacers,33,467561,14168,78.0,2012,nba
3,Pistons,33,475638,14413,65.3,2012,nba
4,Kings,33,478764,14508,83.8,2012,nba
5,Bucks,33,485717,14718,78.6,2012,nba
6,Hornets,33,486984,14757,77.4,2012,nba
7,Pelicans,33,498618,15109,88.4,2012,nba
8,Hawks,33,501593,15199,81.2,2012,nba
9,Rockets,33,506994,15363,85.1,2012,nba
10,Suns,33,514718,15597,84.7,2012,nba
11,Grizzlies,33,518256,15704,86.7,2012,nba
12,Cavaliers,33,525577,15926,77.5,2012,nba
13,Wizards,33,552038,16728,82.9,2012,nba
14,Raptors,33,555584,16835,85.0,2012,nba
15,Nuggets,33,561966,17029,88.9,2012,nba
16,Timberwolves,33,577197,17490,90.4,2012,nba
17,76ers,33,577597,17502,86.1,2012,nba
18,Thunder,33,600699,18203,100.0,2012,nba
19,Spurs,33,607095,18396,99.0,2012,nba
20,Celtics,33,614592,18624,100.0,2012,nba
21,Warriors,33,622311,18857,96.2,2012,nba
22,Magic,33,623587,18896,102.1,2012,nba
