rank,team,name,salary,year
,,"
Ndamukong Suh
Defensive Tackle
","$6,100,000  ",2015
170,,"
Eric Fisher
Left Tackle
","$6,051,954  ",2015
171,,"
Brandon Graham
Defensive End
","$6,000,000  ",2015
,,"
Devin McCourty
Free Safety
","$6,000,000  ",2015
173,,"
Emmanuel Sanders
Wide Receiver
","$5,850,000  ",2015
174,,"
Greg Toler
Cornerback
","$5,833,334  ",2015
175,,"
Stephen Tulloch
Inside Linebacker
","$5,800,000  ",2015
,,"
T.J. Lang
Guard
","$5,800,000  ",2015
177,,"
Luke Joeckel
Guard
","$5,782,254  ",2015
178,,"
D'Qwell Jackson
Inside Linebacker
","$5,750,000  ",2015
179,,"
Brandon Mebane
Defensive Tackle
","$5,700,000  ",2015
180,,"
Malcolm Jenkins
Free Safety
","$5,666,666  ",2015
181,,"
Brian Robison
Defensive End
","$5,650,000  ",2015
182,,"
Nate Solder
Left Tackle
","$5,604,666  ",2015
183,,"
Lance Kendricks
Tight End
","$5,600,000  ",2015
184,,"
Chad Greenway
Outside Linebacker
","$5,575,000  ",2015
185,,"
Roddy White
Wide Receiver
","$5,556,250  ",2015
186,,"
Jairus Byrd
Free Safety
","$5,500,000  ",2015
,,"
Karlos Dansby
Inside Linebacker
","$5,500,000  ",2015
,,"
LeSean McCoy
Running Back
","$5,500,000  ",2015
,,"
Eddie Royal
Wide Receiver
","$5,500,000  ",2015
190,,"
Donald Butler
Inside Linebacker
","$5,480,000  ",2015
191,,"
Sean Lee
Outside Linebacker
","$5,450,000  ",2015
192,,"
Sen'Derrick Marks
Defensive Tackle
","$5,425,000  ",2015
193,,"
Donald Penn
Left Tackle
","$5,400,000  ",2015
194,,"
William Moore
Strong Safety
","$5,368,750  ",2015
195,,"
Randall Cobb
Wide Receiver
","$5,350,000  ",2015
,,"
Jerraud Powers
Cornerback
","$5,350,000  ",2015
197,,"
Delanie Walker
Tight End
","$5,275,000  ",2015
198,,"
Dion Jordan
Defensive End
","$5,267,276  ",2015
199,,"
Derrick Johnson
Inside Linebacker
","$5,250,000  ",2015
200,,"
Lane Johnson
Right Tackle
","$5,225,974  ",2015
201,,"
Brian Hoyer
Quarterback
","$5,218,750  ",2015
202,,"
Jason Hatcher
Defensive End
","$5,203,125  ",2015
203,,"
Morris Claiborne
Cornerback
","$5,175,069  ",2015
204,,"
Vontaze Burfict
Outside Linebacker
","$5,175,000  ",2015
205,,"
Morgan Burnett
Strong Safety
","$5,131,250  ",2015
206,,"
Breno Giacomini
Right Tackle
","$5,125,000  ",2015
207,,"
Kam Chancellor
Strong Safety
","$5,119,117  ",2015
208,,"
Clint Boling
Guard
","$5,100,000  ",2015
,,"
Justin Houston
Outside Linebacker
","$5,100,000  ",2015
210,,"
Ezekiel Ansah
Defensive End
","$5,071,232  ",2015
211,,"
Jadeveon Clowney
Outside Linebacker
","$5,062,045  ",2015
212,,"
Tyron Smith
Left Tackle
","$5,039,000  ",2015
213,,"
Zane Beadles
Guard
","$5,000,000  ",2015
,,"
Chris Clemons
Defensive End
","$5,000,000  ",2015
,,"
DeMarco Murray
Running Back
","$5,000,000  ",2015
,,"
Andrew Hawkins
Wide Receiver
","$5,000,000  ",2015
,,"
Charles Clay
Tight End
","$5,000,000  ",2015
,,"
Antrel Rolle
Strong Safety
","$5,000,000  ",2015
219,,"
Justin Tuck
Defensive End
","$4,968,750  ",2015
220,,"
Tamba Hali
Outside Linebacker
","$4,964,706  ",2015
221,,"
Carlos Dunlap
Defensive End
","$4,900,000  ",2015
,,"
Leodis McKelvin
Cornerback
","$4,900,000  ",2015
223,,"
Ryan Tannehill
Quarterback
","$4,873,364  ",2015
224,,"
Greg Robinson
Left Tackle
","$4,837,295  ",2015
225,,"
DeAngelo Hall
Cornerback
","$4,812,500  ",2015
226,,"
Riley Cooper
Wide Receiver
","$4,800,000  ",2015
,,"
Brent Celek
Tight End
","$4,800,000  ",2015
,,"
Chase Daniel
Quarterback
","$4,800,000  ",2015
229,,"
Reggie Nelson
Free Safety
","$4,775,000  ",2015
230,,"
Antoine Bethea
Strong Safety
","$4,750,000  ",2015
,,"
Nick Fairley
Defensive Tackle
","$4,750,000  ",2015
,,"
Rob Ninkovich
Outside Linebacker
","$4,750,000  ",2015
,,"
K.J. Wright
Outside Linebacker
","$4,750,000  ",2015
234,,"
Malcom Floyd
Wide Receiver
","$4,716,668  ",2015
235,,"
Blake Bortles
Quarterback
","$4,694,275  ",2015
236,,"
Sammie Lee Hill
Defensive Tackle
","$4,666,668  ",2015
237,,"
Julian Edelman
Wide Receiver
","$4,656,250  ",2015
238,,"
Doug Baldwin
Wide Receiver
","$4,650,000  ",2015
239,,"
Jameis Winston
Quarterback
","$4,609,323  ",2015
240,,"
Dan Skuta
Outside Linebacker
","$4,600,000  ",2015
,,"
Jordy Nelson
Wide Receiver
","$4,600,000  ",2015
,,"
Orlando Franklin
Guard
","$4,600,000  ",2015
,,"
Linval Joseph
Defensive Tackle
","$4,600,000  ",2015
244,,"
Jordan Cameron
Tight End
","$4,562,500  ",2015
245,,"
Sammy Watkins
Wide Receiver
","$4,530,819  ",2015
246,,"
Frank Gore
Running Back
","$4,500,000  ",2015
,,"
Derek Newton
Right Tackle
","$4,500,000  ",2015
,,"
Keenan Lewis
Cornerback
","$4,500,000  ",2015
,,"
Dwayne Bowe
Wide Receiver
","$4,500,000  ",2015
,,"
Earl Mitchell
Defensive Tackle
","$4,500,000  ",2015
251,,"
William Hayes
Defensive End
","$4,480,000  ",2015
252,,"
Brian Orakpo
Outside Linebacker
","$4,468,750  ",2015
253,,"
Barkevious Mingo
Outside Linebacker
","$4,458,273  ",2015
254,,"
Corey Graham
Free Safety
","$4,450,000  ",2015
255,,"
Koa Misi
Outside Linebacker
","$4,438,000  ",2015
256,,"
Marcus Mariota
Quarterback
","$4,402,541  ",2015
257,,"
Paul Soliai
Defensive Tackle
","$4,400,000  ",2015
,,"
DeAndre Levy
Outside Linebacker
","$4,400,000  ",2015
,,"
Jason Kelce
Center
","$4,400,000  ",2015
260,,"
Orlando Scandrick
Cornerback
","$4,382,271  ",2015
261,,"
Mike Scifres
Punter
","$4,347,500  ",2015
262,,"
Captain Munnerlyn
Cornerback
","$4,333,333  ",2015
263,,"
Kenny Britt
Wide Receiver
","$4,300,000  ",2015
,,"
Kory Lichtensteiger
Center
","$4,300,000  ",2015
265,,"
Maurkice Pouncey
Center
","$4,296,000  ",2015
266,,"
James Laurinaitis
Inside Linebacker
","$4,275,000  ",2015
267,,"
Dante Fowler Jr.
Defensive End
","$4,270,955  ",2015
268,,"
Kendall Langford
Defensive End
","$4,250,000  ",2015
,,"
Erik Walden
Outside Linebacker
","$4,250,000  ",2015
,,"
Michael Neal
Outside Linebacker
","$4,250,000  ",2015
,,"
Brandon Flowers
Cornerback
","$4,250,000  ",2015
,,"
Bruce Carter
Inside Linebacker
","$4,250,000  ",2015
,,"
Alterraun Verner
Cornerback
","$4,250,000  ",2015
,,"
Stephen Paea
Defensive Tackle
","$4,250,000  ",2015
275,,"
Khalil Mack
Defensive End
","$4,244,773  ",2015
276,,"
Charles Woodson
Strong Safety
","$4,200,000  ",2015
277,,"
Cameron Jordan
Defensive End
","$4,169,000  ",2015
278,,"
Steve Smith
Wide Receiver
","$4,166,666  ",2015
279,,"
Jon Beason
Inside Linebacker
","$4,154,166  ",2015
280,,"
Heath Miller
Tight End
","$4,151,666  ",2015
281,,"
Phil Dawson
Kicker
","$4,134,000  ",2015
282,,"
King Dunlap
Left Tackle
","$4,125,000  ",2015
283,,"
Amari Cooper
Wide Receiver
","$4,120,566  ",2015
284,,"
Darren Sproles
Running Back
","$4,100,000  ",2015
285,,"
Chris Culliver
Cornerback
","$4,073,529  ",2015
286,,"
Perry Riley
Inside Linebacker
","$4,049,804  ",2015
287,,"
Nick Foles
Quarterback
","$4,042,000  ",2015
288,,"
Mike Daniels
Defensive Tackle
","$4,022,996  ",2015
289,,"
David Hawthorne
Inside Linebacker
","$4,010,000  ",2015
290,,"
Derrick Morgan
Outside Linebacker
","$4,000,000  ",2015
,,"
Malcolm Smith
Outside Linebacker
","$4,000,000  ",2015
,,"
Jabaal Sheard
Outside Linebacker
","$4,000,000  ",2015
,,"
Percy Harvin
Wide Receiver
","$4,000,000  ",2015
,,"
Terrance Knighton
Defensive Tackle
","$4,000,000  ",2015
,,"
Shawn Lauvao
Guard
","$4,000,000  ",2015
,,"
Dashon Goldson
Free Safety
","$4,000,000  ",2015
297,,"
Jason Jones
Defensive End
","$3,983,333  ",2015
298,,"
Jonathan Cooper
Guard
","$3,967,910  ",2015
299,,"
Terrell Suggs
Outside Linebacker
","$3,950,000  ",2015
300,,"
Garrett Graham
Tight End
","$3,921,875  ",2015
301,,"
Josh McCown
Quarterback
","$3,916,666  ",2015
302,,"
Aaron Williams
Strong Safety
","$3,900,000  ",2015
303,,"
Daryl Smith
Inside Linebacker
","$3,875,000  ",2015
304,,"
Drew Stanton
Quarterback
","$3,866,668  ",2015
305,,"
Brandon Scherff
Guard
","$3,857,388  ",2015
306,,"
Tyson Jackson
Defensive End
","$3,850,000  ",2015
,,"
Marcedes Lewis
Tight End
","$3,850,000  ",2015
,,"
Roy Miller
Defensive Tackle
","$3,850,000  ",2015
,,"
Sean Weatherspoon
Inside Linebacker
","$3,850,000  ",2015
310,,"
Stephon Gilmore
Cornerback
","$3,844,959  ",2015
311,,"
Brandon Pettigrew
Tight End
","$3,800,000  ",2015
,,"
Dustin Colquitt
Punter
","$3,800,000  ",2015
313,,"
Mark Sanchez
Quarterback
","$3,750,000  ",2015
,,"
Henry Melton
Defensive Tackle
","$3,750,000  ",2015
,,"
Evan Smith
Center
","$3,750,000  ",2015
,,"
Andre Roberts
Wide Receiver
","$3,750,000  ",2015
317,,"
Jake Matthews
Left Tackle
","$3,733,978  ",2015
318,,"
Alex Boone
Guard
","$3,723,000  ",2015
319,,"
Devin Hester
Wide Receiver
","$3,708,333  ",2015
320,,"
Domata Peko
Defensive Tackle
","$3,700,000  ",2015
321,,"
Da'Norris Searcy
Strong Safety
","$3,625,000  ",2015
322,,"
Jonathan Babineaux
Defensive Tackle
","$3,619,791  ",2015
323,,"
Ropati Pitoitua
Defensive End
","$3,612,500  ",2015
324,,"
Sebastian Janikowski
Kicker
","$3,610,000  ",2015
325,,"
Dontari Poe
Defensive Tackle
","$3,601,822  ",2015
326,,"
Torrey Smith
Wide Receiver
","$3,600,000  ",2015
,,"
Stephen Gostkowski
Kicker
","$3,600,000  ",2015
,,"
Robbie Gould
Kicker
","$3,600,000  ",2015
,,"
Jimmy Smith
Cornerback
","$3,600,000  ",2015
330,,"
Marcel Reece
Fullback
","$3,580,838  ",2015
331,,"
Glover Quin
Free Safety
","$3,572,500  ",2015
332,,"
Bryan Bulaga
Right Tackle
","$3,568,750  ",2015
333,,"
Mason Crosby
Kicker
","$3,550,000  ",2015
334,,"
Vince Wilfork
Defensive Tackle
","$3,500,000  ",2015
,,"
Chad Henne
Quarterback
","$3,500,000  ",2015
,,"
Joique Bell
Running Back
","$3,500,000  ",2015
,,"
Wesley Woodyard
Inside Linebacker
","$3,500,000  ",2015
,,"
Brandon LaFell
Wide Receiver
","$3,500,000  ",2015
339,,"
Brandon Fusco
Guard
","$3,485,000  ",2015
340,,"
Tavon Austin
Wide Receiver
","$3,477,546  ",2015
341,,"
Dee Milliner
Cornerback
","$3,453,010  ",2015
342,,"
Mike Tolbert
Fullback
","$3,425,000  ",2015
343,,"
Thomas Morstead
Punter
","$3,400,000  ",2015
,,"
Jeremy Maclin
Wide Receiver
","$3,400,000  ",2015
345,,"
Leonard Williams
Defensive End
","$3,387,430  ",2015
346,,"
Matt Bosher
Punter
","$3,355,000  ",2015
347,,"
Erik Pears
Right Tackle
","$3,350,000  ",2015
,,"
Dexter McCluster
Running Back
","$3,350,000  ",2015
,,"
Lee Smith
Tight End
","$3,350,000  ",2015
350,,"
Perrish Cox
Cornerback
","$3,333,333  ",2015
351,,"
Mike Evans
Wide Receiver
","$3,325,341  ",2015
352,,"
Steven Hauschka
Kicker
","$3,325,000  ",2015
353,,"
Chance Warmack
Guard
","$3,318,177  ",2015
354,,"
Matt Slauson
Guard
","$3,267,500  ",2015
355,,"
Fletcher Cox
Defensive Tackle
","$3,258,036  ",2015
356,,"
Marcus Gilbert
Right Tackle
","$3,256,000  ",2015
357,,"
Barry Church
Strong Safety
","$3,250,000  ",2015
,,"
Walter Thurmond
Free Safety
","$3,250,000  ",2015
,,"
Ryan Fitzpatrick
Quarterback
","$3,250,000  ",2015
,,"
Clinton McDonald
Defensive Tackle
","$3,250,000  ",2015
,,"
Shaun Hill
Quarterback
","$3,250,000  ",2015
362,,"
Allen Bailey
Defensive End
","$3,231,250  ",2015
363,,"
Pat McAfee
Punter
","$3,200,000  ",2015
,,"
Zach Strief
Right Tackle
","$3,200,000  ",2015
,,"
Michael Crabtree
Wide Receiver
","$3,200,000  ",2015
366,,"
Michael Floyd
Wide Receiver
","$3,172,750  ",2015
367,,"
Willie Young
Outside Linebacker
","$3,166,666  ",2015
368,,"
Brooks Reed
Defensive End
","$3,140,000  ",2015
369,,"
T.Y. Hilton
Wide Receiver
","$3,131,850  ",2015
370,,"
Marcus Gilchrist
Strong Safety
","$3,125,000  ",2015
371,,"
Danny Amendola
Wide Receiver
","$3,116,666  ",2015
372,,"
D.J. Fluker
Guard
","$3,109,771  ",2015
373,,"
Jermaine Gresham
Tight End
","$3,109,375  ",2015
374,,"
Mike Adams
Strong Safety
","$3,100,000  ",2015
,,"
Graham Gano
Kicker
","$3,100,000  ",2015
,,"
Vincent Rey
Inside Linebacker
","$3,100,000  ",2015
,,"
Manny Lawson
Outside Linebacker
","$3,100,000  ",2015
,,"
Daryl Washington
Inside Linebacker
","$3,100,000  ",2015
379,,"
Golden Tate
Wide Receiver
","$3,096,250  ",2015
380,,"
Joe Reitz
Guard
","$3,062,500  ",2015
381,,"
Greg Hardy
Defensive End
","$3,041,379  ",2015
382,,"
Michael Brockers
Defensive Tackle
","$3,029,727  ",2015
383,,"
Mychal Kendricks
Outside Linebacker
","$3,014,141  ",2015
384,,"
Kevin White
Wide Receiver
","$3,011,463  ",2015
385,,"
Doug Free
Right Tackle
","$3,000,000  ",2015
,,"
Rahim Moore
Free Safety
","$3,000,000  ",2015
,,"
Matt Hasselbeck
Quarterback
","$3,000,000  ",2015
,,"
Tyson Alualu
Defensive End
","$3,000,000  ",2015
,,"
Toby Gerhart
Running Back
","$3,000,000  ",2015
,,"
Manuel Ramirez
Guard
","$3,000,000  ",2015
,,"
Max Unger
Center
","$3,000,000  ",2015
,,"
Aldon Smith
Outside Linebacker
","$3,000,000  ",2015
,,"
DeMeco Ryans
Inside Linebacker
","$3,000,000  ",2015
,,"
Alan Ball
Cornerback
","$3,000,000  ",2015
,,"
Chris Harris
Cornerback
","$3,000,000  ",2015
396,,"
Chris Baker
Defensive Tackle
","$2,984,375  ",2015
397,,"
Whitney Mercilus
Outside Linebacker
","$2,979,030  ",2015
398,,"
Bobby Wagner
Inside Linebacker
","$2,970,663  ",2015
399,,"
Randy Starks
Defensive End
","$2,968,750  ",2015
400,,"
Akeem Ayers
Outside Linebacker
","$2,921,875  ",2015
,,"
Evan Mathis
Guard
","$2,921,875  ",2015
402,,"
Justin Gilbert
Cornerback
","$2,916,705  ",2015
403,,"
Nolan Carroll
Cornerback
","$2,900,000  ",2015
404,,"
Anthony Barr
Outside Linebacker
","$2,896,250  ",2015
405,,"
Bruce Irvin
Outside Linebacker
","$2,895,542  ",2015
406,,"
Andy Levitre
Guard
","$2,875,000  ",2015
407,,"
Geoff Schwartz
Guard
","$2,845,833  ",2015
408,,"
Tyrone Crawford
Defensive End
","$2,828,813  ",2015
409,,"
Matt Bryant
Kicker
","$2,827,083  ",2015
410,,"
John Greco
Guard
","$2,825,000  ",2015
411,,"
Mackenzy Bernadeau
Center
","$2,824,166  ",2015
