name,salary,year
Pierre Thomas,"$3,340,000  ",2011
Josh Wilson,"$3,333,333  ",2011
Cooper Carlisle,"$3,300,000  ",2011
Lee Evans,"$3,275,000  ",2011
Donald Brown,"$3,255,000  ",2011
Darryl Tapp,"$3,250,000  ",2011
Stephen Tulloch,"$3,250,000  ",2011
Tarvaris Jackson,"$3,250,000  ",2011
Phil Dawson,"$3,250,000  ",2011
Santonio Holmes,"$3,250,000  ",2011
A.J. Feeley,"$3,250,000  ",2011
John Henderson,"$3,250,000  ",2011
Brandon Meriweather,"$3,250,000  ",2011
Matt Moore,"$3,250,000  ",2011
Rob Bironas,"$3,225,000  ",2011
Devery Henderson,"$3,225,000  ",2011
Shawntae Spencer,"$3,200,000  ",2011
Sidney Rice,"$3,200,000  ",2011
Jon Kitna,"$3,200,000  ",2011
Eugene Monroe,"$3,172,000  ",2011
Stephen Peterman,"$3,165,000  ",2011
Brian Dawkins,"$3,156,000  ",2011
Devin McCourty,"$3,135,000  ",2011
Mike Williams,"$3,125,000  ",2011
Adam Snyder,"$3,100,000  ",2011
Scott Wells,"$3,100,000  ",2011
B.J. Raji,"$3,060,000  ",2011
Alan Branch,"$3,050,000  ",2011
Chris Redman,"$3,050,000  ",2011
DeMeco Ryans,"$3,050,000  ",2011
Melvin Bullitt,"$3,035,000  ",2011
Winston Justice,"$3,031,000  ",2011
Brent Celek,"$3,023,000  ",2011
Plaxico Burress,"$3,017,000  ",2011
Andre Gurode,"$3,000,000  ",2011
Larry Foote,"$3,000,000  ",2011
Zach Miller,"$3,000,000  ",2011
Paul Posluszny,"$3,000,000  ",2011
Matt Roth,"$3,000,000  ",2011
Stewart Bradley,"$3,000,000  ",2011
Rocky McIntosh,"$3,000,000  ",2011
James Hall,"$3,000,000  ",2011
Gary Kubiak,"$3,000,000  ",2011
Julio Jones,"$2,957,500  ",2011
Remi Ayodele,"$2,933,333  ",2011
Gosder Cherilus,"$2,920,000  ",2011
James Anderson,"$2,900,000  ",2011
Adam Podlesh,"$2,900,000  ",2011
Jermon Bushrod,"$2,900,000  ",2011
Brian Robison,"$2,854,667  ",2011
Mathias Kiwanuka,"$2,850,000  ",2011
