rank,team,name,salary,year
150,,"
Golden Tate
Wide Receiver
","$7,101,250  ",2016
151,,"
Johnathan Joseph
Cornerback
","$7,000,000  ",2016
,,"
Sam Bradford
Quarterback
","$7,000,000  ",2016
,,"
Ryan Fitzpatrick
Quarterback
","$7,000,000  ",2016
,,"
William Hayes
Defensive End
","$7,000,000  ",2016
155,,"
Lamarr Houston
Outside Linebacker
","$6,990,000  ",2016
156,,"
Tramon Williams
Cornerback
","$6,981,250  ",2016
157,,"
Tyrod Taylor
Quarterback
","$6,919,573  ",2016
158,,"
Michael Brockers
Defensive Tackle
","$6,896,000  ",2016
159,,"
Eric Fisher
Left Tackle
","$6,854,636  ",2016
160,,"
Jabaal Sheard
Outside Linebacker
","$6,812,500  ",2016
161,,"
Derek Wolfe
Defensive End
","$6,800,000  ",2016
,,"
Tyron Smith
Left Tackle
","$6,800,000  ",2016
163,,"
Alterraun Verner
Cornerback
","$6,750,000  ",2016
164,,"
Luke Joeckel
Guard
","$6,745,963  ",2016
165,,"
Alex Boone
Guard
","$6,700,000  ",2016
166,,"
Rob Gronkowski
Tight End
","$6,618,750  ",2016
167,,"
Damon Harrison
Defensive Tackle
","$6,600,000  ",2016
,,"
Marvin Jones
Wide Receiver
","$6,600,000  ",2016
169,,"
Cliff Avril
Defensive End
","$6,500,000  ",2016
,,"
Mario Williams
Defensive End
","$6,500,000  ",2016
,,"
Jermey Parnell
Right Tackle
","$6,500,000  ",2016
172,,"
Fletcher Cox
Defensive Tackle
","$6,499,000  ",2016
173,,"
Tyson Jackson
Defensive End
","$6,350,000  ",2016
,,"
Danny Trevathan
Inside Linebacker
","$6,350,000  ",2016
,,"
Linval Joseph
Defensive Tackle
","$6,350,000  ",2016
176,,"
Derrick Morgan
Outside Linebacker
","$6,312,500  ",2016
177,,"
Delanie Walker
Tight End
","$6,267,708  ",2016
178,,"
K.J. Wright
Outside Linebacker
","$6,250,000  ",2016
,,"
Kyle Williams
Defensive Tackle
","$6,250,000  ",2016
