Player,Tm,Lg,AV,salary,index,college,state
Matthew Stafford,DET,NFL,110,"$6,123,750 ",Coastal Georgia Community College,Georgia,GA
Matthew Stafford,DET,NFL,110,"$8,935,000 ",Coastal Georgia Community College,Georgia,GA
Matthew Stafford,DET,NFL,110,"$17,820,000 ",Coastal Georgia Community College,Georgia,GA
Matthew Stafford,DET,NFL,110,"$15,820,000 ",Coastal Georgia Community College,Georgia,GA
Matthew Stafford,DET,NFL,110,"$17,721,250 ",Coastal Georgia Community College,Georgia,GA
Matthew Stafford,DET,NFL,110,"$22,500,000 ",Coastal Georgia Community College,Georgia,GA
Matthew Stafford,DET,NFL,110,"$16,500,000 ",Coastal Georgia Community College,Georgia,GA
Matthew Stafford,DET,NFL,110,"$26,500,000 ",Coastal Georgia Community College,Georgia,GA
J.J. Watt,HTX,NFL,108,"$2,043,182 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$2,043,182 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$2,553,977 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$3,064,772 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$4,575,567 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$13,969,000 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$14,500,000 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$14,500,000 ",Central Michigan University,Central Michigan,MI
J.J. Watt,HTX,NFL,108,"$15,000,000 ",Central Michigan University,Central Michigan,MI
Von Miller,DEN,NFL,106,"$3,818,251 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$3,818,251 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$4,772,814 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$4,921,215 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$6,613,188 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$9,754,000 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$11,500,000 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$19,900,000 ",,Texas A&M;,
Von Miller,DEN,NFL,106,"$10,125,000 ",,Texas A&M;,
Julius Peppers,TOT,NFL,103,"$4,383,333 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$4,383,333 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$12,183,333 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$14,383,333 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$3,500,000 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$12,000,000 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$10,500,000 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$3,750,000 ",North Carolina A&T State University,North Carolina,NC
Julius Peppers,TOT,NFL,103,"$5,000,000 ",North Carolina A&T State University,North Carolina,NC
Antonio Brown,PIT,NFL,102,"$2,264,358 ",West Virginia State University,West Virginia,WV
Antonio Brown,PIT,NFL,102,"$5,620,000 ",West Virginia State University,West Virginia,WV
Antonio Brown,PIT,NFL,102,"$4,517,500 ",West Virginia State University,West Virginia,WV
Antonio Brown,PIT,NFL,102,"$7,120,833 ",West Virginia State University,West Virginia,WV
Antonio Brown,PIT,NFL,102,"$11,883,333 ",West Virginia State University,West Virginia,WV
Antonio Brown,PIT,NFL,102,"$13,618,333 ",West Virginia State University,West Virginia,WV
Antonio Brown,PIT,NFL,102,"$7,955,000 ",West Virginia State University,West Virginia,WV
