Player,college,state,PER
Kosta Koufos,Ohio State University,OH,81
Kosta Koufos,Ohio State University,OH,81
Mike Conley,Ohio State University,OH,79
Kevin Martin,University of Cincinnati,OH,79
Jared Sullinger,Ohio State University,OH,79
David West,Xavier University,OH,78
Kevin Martin,University of Cincinnati,OH,77
Chris Wright,University of Dayton,OH,77
Jared Sullinger,Ohio State University,OH,77
Kosta Koufos,Ohio State University,OH,77
Kevin Martin,University of Cincinnati,OH,76
Mike Conley,Ohio State University,OH,74
Kevin Martin,University of Cincinnati,OH,74
David West,Xavier University,OH,74
Richaun Holmes,Bowling Green State University,OH,74
Sean Kilpatrick,University of Cincinnati,OH,71
Mike Conley,Ohio State University,OH,70
Kosta Koufos,Ohio State University,OH,68
Lance Stephenson,University of Cincinnati,OH,65
Brian Roberts,University of Dayton,OH,64
Kosta Koufos,Ohio State University,OH,61
Kenyon Martin,University of Cincinnati,OH,60
Kenyon Martin,University of Cincinnati,OH,58
Michael Redd,Ohio State University,OH,58
Kosta Koufos,Ohio State University,OH,57
Brian Roberts,University of Dayton,OH,57
Evan Turner,Ohio State University,OH,56
Jared Sullinger,Ohio State University,OH,55
Lance Stephenson,University of Cincinnati,OH,55
Brian Roberts,University of Dayton,OH,54
Sean Kilpatrick,University of Cincinnati,OH,51
Byron Mullens,Ohio State University,OH,50
Evan Turner,Ohio State University,OH,49
Byron Mullens,Ohio State University,OH,49
Kosta Koufos,Ohio State University,OH,47
Evan Turner,Ohio State University,OH,47
Lance Stephenson,University of Cincinnati,OH,45
Evan Turner,Ohio State University,OH,45
Greg Oden,Ohio State University,OH,45
Byron Mullens,Ohio State University,OH,44
Kenyon Martin,University of Cincinnati,OH,43
Evan Turner,Ohio State University,OH,43
Lance Stephenson,University of Cincinnati,OH,40
Brian Roberts,University of Dayton,OH,40
Jason Maxiell,University of Cincinnati,OH,40
Sean Kilpatrick,University of Cincinnati,OH,39
Kevin Martin,University of Cincinnati,OH,38
Evan Turner,Ohio State University,OH,37
Jason Maxiell,University of Cincinnati,OH,36
Josh Davis,University of Dayton,OH,36
Maurice Ndour,Ohio University,OH,36
Norris Cole,Cleveland State University,OH,33
Evan Turner,Ohio State University,OH,32
Norris Cole,Cleveland State University,OH,32
Jason Maxiell,University of Cincinnati,OH,29
Sean Kilpatrick,University of Cincinnati,OH,25
Kenyon Martin,University of Cincinnati,OH,25
Kenyon Martin,University of Cincinnati,OH,25
Evan Turner,Ohio State University,OH,25
Brian Roberts,University of Dayton,OH,24
Michael Redd,Ohio State University,OH,24
Lance Stephenson,University of Cincinnati,OH,23
Jason Maxiell,University of Cincinnati,OH,22
Lance Stephenson,University of Cincinnati,OH,18
Norris Cole,Cleveland State University,OH,18
Jason Maxiell,University of Cincinnati,OH,15
Norris Cole,Cleveland State University,OH,14
Norris Cole,Cleveland State University,OH,14
James Posey,Xavier University,OH,12
Lance Stephenson,University of Cincinnati,OH,11
Antonio Daniels,Bowling Green State University,OH,10
Jared Sullinger,Ohio State University,OH,8
Lance Stephenson,University of Cincinnati,OH,7
Norris Cole,Cleveland State University,OH,7
Semaj Christon,Xavier University,OH,7
Byron Mullens,Ohio State University,OH,4
Chris Wright,University of Dayton,OH,1
Blake Griffin,University of Oklahoma,OK,97
Blake Griffin,University of Oklahoma,OK,96
Blake Griffin,University of Oklahoma,OK,96
