Player,college,state,PER
Derrick Rose,University of Memphis,TN,80
Wade Baldwin,Vanderbilt University,TN,78
Tyreke Evans,University of Memphis,TN,77
Festus Ezeli,Vanderbilt University,TN,76
Will Barton,University of Memphis,TN,76
Derrick Rose,University of Memphis,TN,74
John Jenkins,Vanderbilt University,TN,74
Will Barton,University of Memphis,TN,74
Lester Hudson,University of Tennessee at Martin,TN,74
Tyreke Evans,University of Memphis,TN,71
Will Barton,University of Memphis,TN,71
Robert Covington,Tennessee State University,TN,67
Derrick Byars,Vanderbilt University,TN,66
Robert Covington,Tennessee State University,TN,65
Tyreke Evans,University of Memphis,TN,62
Jordan McRae,University of Tennessee,TN,61
Joey Dorsey,University of Memphis,TN,61
Lester Hudson,University of Tennessee at Martin,TN,58
Will Barton,University of Memphis,TN,56
Josh Richardson,University of Tennessee,TN,56
Will Barton,University of Memphis,TN,55
Derrick Rose,University of Memphis,TN,54
Robert Covington,Tennessee State University,TN,52
Robert Covington,Tennessee State University,TN,52
Ian Clark,Belmont University,TN,51
John Jenkins,Vanderbilt University,TN,50
Robert Covington,Tennessee State University,TN,50
Chris Douglas-Roberts,University of Memphis,TN,43
Derrick Rose,University of Memphis,TN,38
Ian Clark,Belmont University,TN,38
Chris Douglas-Roberts,University of Memphis,TN,38
Josh Richardson,University of Tennessee,TN,37
Joey Dorsey,University of Memphis,TN,34
Rodney Carney,University of Memphis,TN,32
Josh Richardson,University of Tennessee,TN,31
John Jenkins,Vanderbilt University,TN,25
Derrick Rose,University of Memphis,TN,24
Jordan McRae,University of Tennessee,TN,24
Ian Clark,Belmont University,TN,22
Festus Ezeli,Vanderbilt University,TN,21
Ian Clark,Belmont University,TN,21
Will Barton,University of Memphis,TN,20
Earl Barron,University of Memphis,TN,19
Elliot Williams,University of Memphis,TN,18
Elliot Williams,University of Memphis,TN,18
Ian Clark,Belmont University,TN,18
Chris Douglas-Roberts,University of Memphis,TN,16
Adonis Thomas,University of Memphis,TN,12
Wade Baldwin,Vanderbilt University,TN,9
Earl Barron,University of Memphis,TN,9
Lester Hudson,University of Tennessee at Martin,TN,8
John Jenkins,Vanderbilt University,TN,6
Earl Barron,University of Memphis,TN,6
Earl Barron,University of Memphis,TN,6
Elliot Williams,University of Memphis,TN,4
Chris Douglas-Roberts,University of Memphis,TN,4
Kevin Murphy,Tennessee Technological University,TN,1
Scotty Hopson,University of Tennessee,TN,1
Scotty Hopson,University of Tennessee,TN,0
Anthony Davis,University of Texas at El Paso,TX,99
Anthony Davis,University of Texas at El Paso,TX,99
Anthony Davis,University of Texas at El Paso,TX,99
Kevin Durant,University of Texas at Austin,TX,99
Kevin Durant,University of Texas at Austin,TX,99
Kevin Durant,University of Texas at Austin,TX,99
Kevin Durant,University of Texas at Austin,TX,99
Kevin Durant,University of Texas at Austin,TX,99
Anthony Davis,University of Texas at El Paso,TX,98
Kevin Durant,University of Texas at Austin,TX,98
Kevin Durant,University of Texas at Austin,TX,98
Anthony Davis,University of Texas at El Paso,TX,97
LaMarcus Aldridge,University of Texas at Austin,TX,97
Kevin Durant,University of Texas at Austin,TX,96
LaMarcus Aldridge,University of Texas at Austin,TX,96
LaMarcus Aldridge,University of Texas at Austin,TX,96
Anthony Davis,University of Texas at El Paso,TX,95
LaMarcus Aldridge,University of Texas at Austin,TX,95
LaMarcus Aldridge,University of Texas at Austin,TX,95
DeAndre Jordan,Texas A&M University,TX,95
LaMarcus Aldridge,University of Texas at Austin,TX,94
DeAndre Jordan,Texas A&M University,TX,93
DeAndre Jordan,Texas A&M University,TX,93
LaMarcus Aldridge,University of Texas at Austin,TX,92
DeAndre Jordan,Texas A&M University,TX,92
Chris Andersen,Blinn College,TX,88
Chris Andersen,Blinn College,TX,88
LaMarcus Aldridge,University of Texas at Austin,TX,87
Chris Andersen,Blinn College,TX,87
Myles Turner,University of Texas at Austin,TX,87
DeAndre Jordan,Texas A&M University,TX,86
Mike Harris,Rice University,TX,85
Chris Andersen,Blinn College,TX,82
Khris Middleton,Texas A&M University,TX,82
DeAndre Jordan,Texas A&M University,TX,81
Jordan Hamilton,University of North Texas,TX,80
Khris Middleton,Texas A&M University,TX,79
Myles Turner,University of Texas at Austin,TX,78
DeAndre Jordan,Texas A&M University,TX,77
Chris Andersen,Blinn College,TX,75
Tristan Thompson,University of Texas at Austin,TX,75
Tristan Thompson,University of Texas at Austin,TX,74
Quincy Acy,Baylor University,TX,74
Khris Middleton,Texas A&M University,TX,71
Tristan Thompson,University of Texas at Austin,TX,71
Cory Joseph,University of Texas at Austin,TX,71
Myles Turner,University of Texas at Austin,TX,70
Chris Andersen,Blinn College,TX,69
Mike Harris,Rice University,TX,69
Tristan Thompson,University of Texas at Austin,TX,69
Ekpe Udoh,Baylor University,TX,68
Tim Hardaway,University of Texas at El Paso,TX,68
Khris Middleton,Texas A&M University,TX,67
Tristan Thompson,University of Texas at Austin,TX,66
DeAndre Jordan,Texas A&M University,TX,65
Quincy Acy,Baylor University,TX,65
Cory Joseph,University of Texas at Austin,TX,65
Dahntay Jones,University of Houston,TX,65
Eric Dawson,Midwestern State University,TX,64
Tim Hardaway,University of Texas at El Paso,TX,62
Avery Bradley,University of Texas at Austin,TX,62
Jeff Foster,Texas State University,TX,61
Jordan Hamilton,University of North Texas,TX,58
Donald Sloan,Texas A&M University,TX,58
Tristan Thompson,University of Texas at Austin,TX,56
Dahntay Jones,University of Houston,TX,56
Cory Joseph,University of Texas at Austin,TX,55
Tristan Thompson,University of Texas at Austin,TX,53
Andre Emmett,Texas Tech University,TX,53
Kurt Thomas,Texas Christian University,TX,53
Cory Joseph,University of Texas at Austin,TX,52
Avery Bradley,University of Texas at Austin,TX,52
Daniel Gibson,University of Texas at Austin,TX,52
Cory Jefferson,Baylor University,TX,52
Donald Sloan,Texas A&M University,TX,51
Dexter Pittman,University of Texas at Austin,TX,51
Pierre Jackson,Baylor University,TX,50
Julyan Stone,University of Texas at El Paso,TX,50
Jordan Hamilton,University of North Texas,TX,48
Tim Hardaway,University of Texas at El Paso,TX,48
Avery Bradley,University of Texas at Austin,TX,48
Cory Jefferson,Baylor University,TX,48
Khris Middleton,Texas A&M University,TX,46
Ekpe Udoh,Baylor University,TX,46
Jordan Hamilton,University of North Texas,TX,45
Cory Joseph,University of Texas at Austin,TX,45
Danuel House,Texas A&M University,TX,45
Tim Hardaway,University of Texas at El Paso,TX,43
Danuel House,Texas A&M University,TX,43
Jermaine Taylor,Texas Tech University,TX,43
Ekpe Udoh,Baylor University,TX,42
Trey Thompkins,University of Texas at Austin,TX,42
Quincy Acy,Baylor University,TX,41
Quincy Acy,Baylor University,TX,40
Tim Hardaway,University of Texas at El Paso,TX,40
Chris Andersen,Blinn College,TX,39
Ekpe Udoh,Baylor University,TX,39
Avery Bradley,University of Texas at Austin,TX,38
Khris Middleton,Texas A&M University,TX,37
Julyan Stone,University of Texas at El Paso,TX,37
Avery Bradley,University of Texas at Austin,TX,36
Cory Joseph,University of Texas at Austin,TX,34
Jeff Foster,Texas State University,TX,34
Isaiah Taylor,University of Texas at Austin,TX,33
Dexter Pittman,University of Texas at Austin,TX,29
Dahntay Jones,University of Houston,TX,28
Dahntay Jones,University of Houston,TX,28
Jeffery Taylor,Texas Tech University,TX,28
Quincy Acy,Baylor University,TX,26
Perry Jones,Baylor University,TX,26
Damion James,University of Texas at Austin,TX,26
Kurt Thomas,Texas Christian University,TX,25
Derrick Caracter,University of Texas at El Paso,TX,25
Acie Law,Texas A&M University,TX,25
Ekpe Udoh,Baylor University,TX,24
Avery Bradley,University of Texas at Austin,TX,23
Donald Sloan,Texas A&M University,TX,23
Kurt Thomas,Texas Christian University,TX,22
Tony Battie,Texas Tech University,TX,22
Daniel Gibson,University of Texas at Austin,TX,21
Maurice Evans,University of Texas at Austin,TX,20
Donald Sloan,Texas A&M University,TX,19
Maurice Evans,University of Texas at Austin,TX,19
Avery Bradley,University of Texas at Austin,TX,18
Morris Almond,Rice University,TX,18
Donald Sloan,Texas A&M University,TX,17
Quincy Miller,Baylor University,TX,17
Jordan Hamilton,University of North Texas,TX,16
Quincy Acy,Baylor University,TX,15
Jeffery Taylor,Texas Tech University,TX,15
Royal Ivey,University of Texas at Austin,TX,15
Royal Ivey,University of Texas at Austin,TX,15
Perry Jones,Baylor University,TX,14
Marcus Cousin,University of Houston,TX,14
Ekpe Udoh,Baylor University,TX,13
Daniel Gibson,University of Texas at Austin,TX,13
Julyan Stone,University of Texas at El Paso,TX,13
Tony Battie,Texas Tech University,TX,12
Quincy Miller,Baylor University,TX,12
Cory Joseph,University of Texas at Austin,TX,11
Perry Jones,Baylor University,TX,11
Julyan Stone,University of Texas at El Paso,TX,10
Damian Jones,University of Houston,TX,10
Dahntay Jones,University of Houston,TX,9
Damion James,University of Texas at Austin,TX,9
Jeffery Taylor,Texas Tech University,TX,8
Quincy Miller,Baylor University,TX,8
Damian Jones,University of Houston,TX,7
Royal Ivey,University of Texas at Austin,TX,6
Damion James,University of Texas at Austin,TX,5
Quinton Ross,Southern Methodist University,TX,4
Dahntay Jones,University of Houston,TX,3
Avery Bradley,University of Texas at Austin,TX,3
Dexter Pittman,University of Texas at Austin,TX,2
Isaiah Taylor,University of Texas at Austin,TX,2
Brian Skinner,Baylor University,TX,2
Dexter Pittman,University of Texas at Austin,TX,0
Royal Ivey,University of Texas at Austin,TX,0
Brian Skinner,Baylor University,TX,0
Antoine Wright,Texas A&M University,TX,0
Damian Lillard,Weber State University,UT,97
Damian Lillard,Weber State University,UT,97
Damian Lillard,Weber State University,UT,95
Damian Lillard,Weber State University,UT,93
Joel Bolomboy,Weber State University,UT,90
Damian Lillard,Weber State University,UT,87
Brice Johnson,University of Utah,UT,86
Delon Wright,University of Utah,UT,84
Jakob Poeltl,University of Utah,UT,82
Brice Johnson,University of Utah,UT,81
Andrew Bogut,University of Utah,UT,80
Andrew Bogut,University of Utah,UT,79
Damian Lillard,Weber State University,UT,77
Delon Wright,University of Utah,UT,77
Andrew Bogut,University of Utah,UT,74
Andrew Bogut,University of Utah,UT,73
Jimmer Fredette,Brigham Young University,UT,73
Delon Wright,University of Utah,UT,67
Andrew Bogut,University of Utah,UT,66
Jimmer Fredette,Brigham Young University,UT,64
Andrew Bogut,University of Utah,UT,57
Jakob Poeltl,University of Utah,UT,43
Jimmer Fredette,Brigham Young University,UT,42
Joel Bolomboy,Weber State University,UT,40
Andrew Bogut,University of Utah,UT,33
Jimmer Fredette,Brigham Young University,UT,32
Brandon Davies,Brigham Young University,UT,29
Ronnie Price,Utah Valley State College,UT,27
Jimmer Fredette,Brigham Young University,UT,24
Ronnie Price,Utah Valley State College,UT,23
Andrew Bogut,University of Utah,UT,21
Ronnie Price,Utah Valley State College,UT,16
Ronnie Price,Utah Valley State College,UT,13
Brandon Davies,Brigham Young University,UT,12
Ronnie Price,Utah Valley State College,UT,10
Ronnie Price,Utah Valley State College,UT,8
Ronnie Price,Utah Valley State College,UT,7
Kyle O'Quinn,Norfolk State University,VA,92
Kyle O'Quinn,Norfolk State University,VA,91
Larry Sanders,Virginia Commonwealth University,VA,87
Kyle O'Quinn,Norfolk State University,VA,82
Kyle O'Quinn,Norfolk State University,VA,77
Gerald Henderson,Virginia Commonwealth University,VA,77
Mike Scott,University of Virginia,VA,76
Troy Daniels,Virginia Commonwealth University,VA,74
Kyle O'Quinn,Norfolk State University,VA,73
Mike Scott,University of Virginia,VA,69
Larry Sanders,Virginia Commonwealth University,VA,68
Mike Scott,University of Virginia,VA,68
Troy Daniels,Virginia Commonwealth University,VA,66
Malcolm Brogdon,University of Virginia,VA,66
Kyle O'Quinn,Norfolk State University,VA,65
Kent Bazemore,Old Dominion University,VA,63
Malcolm Brogdon,University of Virginia,VA,61
Larry Sanders,Virginia Commonwealth University,VA,59
Gerald Henderson,Virginia Commonwealth University,VA,59
Mike Scott,University of Virginia,VA,59
Justin Anderson,University of Virginia,VA,58
Mike Scott,University of Virginia,VA,56
Kent Bazemore,Old Dominion University,VA,54
Larry Sanders,Virginia Commonwealth University,VA,53
Joe Harris,University of Virginia,VA,53
Gerald Henderson,Virginia Commonwealth University,VA,52
Gerald Henderson,Virginia Commonwealth University,VA,52
Gerald Henderson,Virginia Commonwealth University,VA,51
Gerald Henderson,Virginia Commonwealth University,VA,50
Justin Anderson,University of Virginia,VA,50
Erick Green,Virginia Polytechnic Institute and State University,VA,45
Justin Anderson,University of Virginia,VA,44
Ben Wallace,Virginia Union University,VA,44
Roger Mason,University of Virginia,VA,43
Zabian Dowdell,Virginia Polytechnic Institute and State University,VA,40
Eric Maynor,Virginia Commonwealth University,VA,40
Kent Bazemore,Old Dominion University,VA,38
Kent Bazemore,Old Dominion University,VA,36
Kent Bazemore,Old Dominion University,VA,35
Larry Sanders,Virginia Commonwealth University,VA,34
Briante Weber,Virginia Commonwealth University,VA,34
Jarell Eddie,Virginia Polytechnic Institute and State University,VA,34
Gerald Henderson,Virginia Commonwealth University,VA,32
Ben Wallace,Virginia Union University,VA,31
Malcolm Delaney,Virginia Polytechnic Institute and State University,VA,30
Treveon Graham,Virginia Commonwealth University,VA,30
Troy Daniels,Virginia Commonwealth University,VA,29
Briante Weber,Virginia Commonwealth University,VA,26
Roger Mason,University of Virginia,VA,25
Troy Daniels,Virginia Commonwealth University,VA,24
Kent Bazemore,Old Dominion University,VA,24
Jarell Eddie,Virginia Polytechnic Institute and State University,VA,24
Troy Daniels,Virginia Commonwealth University,VA,23
Eric Maynor,Virginia Commonwealth University,VA,21
Eric Maynor,Virginia Commonwealth University,VA,20
Mario West,Old Dominion University,VA,20
Joe Harris,University of Virginia,VA,19
Erick Green,Virginia Polytechnic Institute and State University,VA,19
Briante Weber,Virginia Commonwealth University,VA,19
Treveon Graham,Virginia Commonwealth University,VA,19
Roger Mason,University of Virginia,VA,15
Malcolm Delaney,Virginia Polytechnic Institute and State University,VA,12
Roger Mason,University of Virginia,VA,11
Justin Harper,University of Richmond,VA,11
Larry Sanders,Virginia Commonwealth University,VA,9
Eric Maynor,Virginia Commonwealth University,VA,9
Mike Scott,University of Virginia,VA,8
Joe Harris,University of Virginia,VA,7
Justin Harper,University of Richmond,VA,6
Joe Harris,University of Virginia,VA,4
Justin Harper,University of Richmond,VA,3
Mike Tobey,University of Virginia,VA,2
Jarell Eddie,Virginia Polytechnic Institute and State University,VA,1
David Stockton,Gonzaga University,WA,99
Klay Thompson,Washington State University,WA,93
Klay Thompson,Washington State University,WA,87
Rodney Stuckey,Eastern Washington University,WA,86
Spencer Hawes,University of Washington,WA,85
Nate Robinson,University of Washington,WA,85
Kelly Olynyk,Gonzaga University,WA,84
Aron Baynes,Washington State University,WA,84
Rodney Stuckey,Eastern Washington University,WA,83
Klay Thompson,Washington State University,WA,82
Nate Robinson,University of Washington,WA,82
Domantas Sabonis,Gonzaga University,WA,82
Kelly Olynyk,Gonzaga University,WA,76
Klay Thompson,Washington State University,WA,75
Spencer Hawes,University of Washington,WA,74
Kelly Olynyk,Gonzaga University,WA,74
Aron Baynes,Washington State University,WA,74
Spencer Hawes,University of Washington,WA,72
Spencer Hawes,University of Washington,WA,71
Nate Robinson,University of Washington,WA,71
Rodney Stuckey,Eastern Washington University,WA,70
Kelly Olynyk,Gonzaga University,WA,69
Kelly Olynyk,Gonzaga University,WA,68
Dejounte Murray,University of Washington,WA,68
Klay Thompson,Washington State University,WA,66
Tony Wroten,University of Washington,WA,66
Klay Thompson,Washington State University,WA,61
Rodney Stuckey,Eastern Washington University,WA,59
Ronny Turiaf,Gonzaga University,WA,58
Brandon Roy,University of Washington,WA,58
Ronny Turiaf,Gonzaga University,WA,56
Terrence Ross,University of Washington,WA,54
Aron Baynes,Washington State University,WA,51
Rodney Stuckey,Eastern Washington University,WA,50
Tony Wroten,University of Washington,WA,50
Terrence Ross,University of Washington,WA,50
Austin Daye,Gonzaga University,WA,50
Austin Daye,Gonzaga University,WA,50
Spencer Hawes,University of Washington,WA,49
Klay Thompson,Washington State University,WA,48
Justin Holiday,University of Washington,WA,48
Rodney Stuckey,Eastern Washington University,WA,47
Spencer Hawes,University of Washington,WA,45
Ronny Turiaf,Gonzaga University,WA,44
Marquese Chriss,University of Washington,WA,44
Aron Baynes,Washington State University,WA,43
Justin Holiday,University of Washington,WA,43
Robert Sacre,Gonzaga University,WA,43
Terrence Ross,University of Washington,WA,42
Kyle Weaver,Washington State University,WA,36
Terrence Ross,University of Washington,WA,35
Austin Daye,Gonzaga University,WA,34
Marquese Chriss,University of Washington,WA,34
Quincy Pondexter,University of Washington,WA,34
Robert Sacre,Gonzaga University,WA,33
David Stockton,Gonzaga University,WA,32
Justin Holiday,University of Washington,WA,32
Nate Robinson,University of Washington,WA,30
Terrence Ross,University of Washington,WA,29
Robert Sacre,Gonzaga University,WA,29
Jeremy Pargo,Gonzaga University,WA,29
Quincy Pondexter,University of Washington,WA,28
Nate Robinson,University of Washington,WA,25
Terrence Ross,University of Washington,WA,25
Quincy Pondexter,University of Washington,WA,25
Spencer Hawes,University of Washington,WA,24
Aron Baynes,Washington State University,WA,24
Dejounte Murray,University of Washington,WA,23
Jon Brockman,University of Washington,WA,23
Rodney Stuckey,Eastern Washington University,WA,22
Ronny Turiaf,Gonzaga University,WA,22
Justin Holiday,University of Washington,WA,22
Quincy Pondexter,University of Washington,WA,22
Tony Wroten,University of Washington,WA,21
Aron Baynes,Washington State University,WA,18
Quincy Pondexter,University of Washington,WA,17
Brandon Roy,University of Washington,WA,16
Austin Daye,Gonzaga University,WA,15
Justin Holiday,University of Washington,WA,13
Elias Harris,Gonzaga University,WA,13
Domantas Sabonis,Gonzaga University,WA,11
Austin Daye,Gonzaga University,WA,11
Jon Brockman,University of Washington,WA,10
Kyle Wiltjer,Gonzaga University,WA,10
Justin Dentmon,University of Washington,WA,6
Ronny Turiaf,Gonzaga University,WA,5
Quincy Pondexter,University of Washington,WA,5
Jeremy Pargo,Gonzaga University,WA,5
Robert Sacre,Gonzaga University,WA,4
Nate Robinson,University of Washington,WA,3
Tony Wroten,University of Washington,WA,3
Justin Dentmon,University of Washington,WA,0
Will Conroy,University of Washington,WA,0
Dwyane Wade,Marquette University,WI,98
Dwyane Wade,Marquette University,WI,98
Dwyane Wade,Marquette University,WI,97
Jimmy Butler,Marquette University,WI,97
Jimmy Butler,Marquette University,WI,97
Dwyane Wade,Marquette University,WI,95
Dwyane Wade,Marquette University,WI,94
Jimmy Butler,Marquette University,WI,94
Jimmy Butler,Marquette University,WI,94
Dwyane Wade,Marquette University,WI,92
Dwyane Wade,Marquette University,WI,87
Steve Novak,Marquette University,WI,84
Jon Leuer,University of Wisconsin,WI,83
Devin Harris,University of Wisconsin,WI,81
Jon Leuer,University of Wisconsin,WI,76
Wesley Matthews,University of Wisconsin,WI,75
Steve Novak,Marquette University,WI,74
Devin Harris,University of Wisconsin,WI,74
Jae Crowder,Marquette University,WI,73
Wesley Matthews,University of Wisconsin,WI,72
Wesley Matthews,University of Wisconsin,WI,71
Jon Leuer,University of Wisconsin,WI,69
Jimmy Butler,Marquette University,WI,68
Dwyane Wade,Marquette University,WI,67
Jae Crowder,Marquette University,WI,66
Devin Harris,University of Wisconsin,WI,65
Devin Harris,University of Wisconsin,WI,64
Devin Harris,University of Wisconsin,WI,64
Steve Novak,Marquette University,WI,62
Frank Kaminsky,University of Wisconsin,WI,62
Jon Leuer,University of Wisconsin,WI,61
Wesley Matthews,University of Wisconsin,WI,60
Wesley Matthews,University of Wisconsin,WI,60
Jae Crowder,Marquette University,WI,58
Devin Harris,University of Wisconsin,WI,57
Greg Stiemsma,University of Wisconsin,WI,56
Jimmy Butler,Marquette University,WI,55
Devin Harris,University of Wisconsin,WI,51
Dwight Buycks,Marquette University,WI,51
Sam Dekker,University of Wisconsin,WI,51
Devin Harris,University of Wisconsin,WI,50
Frank Kaminsky,University of Wisconsin,WI,50
Dwight Buycks,Marquette University,WI,49
Jimmy Butler,Marquette University,WI,46
Frank Kaminsky,University of Wisconsin,WI,46
Jon Leuer,University of Wisconsin,WI,41
Wesley Matthews,University of Wisconsin,WI,41
Jae Crowder,Marquette University,WI,41
Sam Dekker,University of Wisconsin,WI,38
Wesley Matthews,University of Wisconsin,WI,37
Steve Novak,Marquette University,WI,36
Lazar Hayward,Marquette University,WI,35
Steve Novak,Marquette University,WI,34
Wesley Matthews,University of Wisconsin,WI,33
Sam Dekker,University of Wisconsin,WI,32
Lazar Hayward,Marquette University,WI,32
Jon Leuer,University of Wisconsin,WI,29
Jae Crowder,Marquette University,WI,29
Greg Stiemsma,University of Wisconsin,WI,29
Henry Ellenson,Marquette University,WI,29
Jae Crowder,Marquette University,WI,27
Greg Stiemsma,University of Wisconsin,WI,24
Jon Leuer,University of Wisconsin,WI,19
Steve Novak,Marquette University,WI,17
Greg Stiemsma,University of Wisconsin,WI,14
Henry Ellenson,Marquette University,WI,12
Dwight Buycks,Marquette University,WI,11
Duje Dukan,University of Wisconsin,WI,5
Vander Blue,Marquette University,WI,5
Lazar Hayward,Marquette University,WI,4
Steve Novak,Marquette University,WI,2
Vander Blue,Marquette University,WI,2
Jerel McNeal,Marquette University,WI,2
Vander Blue,Marquette University,WI,1
Hassan Whiteside,Marshall University,WV,98
Hassan Whiteside,Marshall University,WV,98
Hassan Whiteside,Marshall University,WV,97
Hassan Whiteside,Marshall University,WV,96
Devin Ebanks,West Virginia University,WV,90
Hassan Whiteside,Marshall University,WV,76
Kevin Jones,West Virginia University,WV,34
Devin Ebanks,West Virginia University,WV,16
Devin Ebanks,West Virginia University,WV,9
Hassan Whiteside,Marshall University,WV,0
Theo Ratliff,University of Wyoming,WY,5
