,Player,salary,college,state,AV
42,Cam Newton,"$6,006,954  ",Auburn,AL,122
43,Cam Newton,"$6,006,954  ",Furman,SC,122
44,Cam Newton,"$7,008,113  ",Auburn,AL,122
45,Cam Newton,"$7,008,113  ",Furman,SC,122
46,Cam Newton,"$13,000,000  ",Auburn,AL,122
47,Cam Newton,"$13,000,000  ",Furman,SC,122
48,Cam Newton,"$19,500,000  ",Auburn,AL,122
49,Cam Newton,"$19,500,000  ",Furman,SC,122
50,Cam Newton,"$20,166,666  ",Auburn,AL,122
51,Cam Newton,"$20,166,666  ",Furman,SC,122
52,Cam Newton,"$21,500,000  ",Auburn,AL,122
53,Cam Newton,"$21,500,000  ",Furman,SC,122
54,Eli Manning,"$14,100,000  ",Mississippi,MS,116
55,Eli Manning,"$14,100,000  ",Mississippi,MS,116
56,Eli Manning,"$9,600,000  ",Mississippi,MS,116
57,Eli Manning,"$20,850,000  ",Mississippi,MS,116
58,Eli Manning,"$20,400,000  ",Mississippi,MS,116
59,Eli Manning,"$14,450,000  ",Mississippi,MS,116
60,Eli Manning,"$24,200,000  ",Mississippi,MS,116
61,Eli Manning,"$19,700,000  ",Mississippi,MS,116
62,Eli Manning,"$22,200,000  ",Mississippi,MS,116
63,Calais Campbell,"$930,000  ",Miami (FL),,114
64,Calais Campbell,"$930,000  ",Miami (FL),,114
65,Calais Campbell,"$5,000,000  ",Miami (FL),,114
66,Calais Campbell,"$8,750,000  ",Miami (FL),,114
67,Calais Campbell,"$11,250,000  ",Miami (FL),,114
68,Calais Campbell,"$14,750,000  ",Miami (FL),,114
69,Calais Campbell,"$15,250,000  ",Miami (FL),,114
70,Calais Campbell,"$10,500,000  ",Miami (FL),,114
71,Calais Campbell,"$17,500,000  ",Miami (FL),,114
72,Jahri Evans,"$5,200,000  ",Bloomsburg,PA,114
73,Jahri Evans,"$5,200,000  ",Bloomsburg,PA,114
74,Jahri Evans,"$3,360,000  ",Bloomsburg,PA,114
75,Jahri Evans,"$6,740,000  ",Bloomsburg,PA,114
76,Jahri Evans,"$11,000,000  ",Bloomsburg,PA,114
77,Jahri Evans,"$7,000,000  ",Bloomsburg,PA,114
78,Jahri Evans,"$1,000,000  ",Bloomsburg,PA,114
79,Jahri Evans,"$2,425,000  ",Bloomsburg,PA,114
80,Russell Wilson,"$681,085  ",Wisconsin,WI,114
81,Russell Wilson,"$817,302  ",Wisconsin,WI,114
82,Russell Wilson,"$7,054,868  ",Wisconsin,WI,114
83,Russell Wilson,"$18,542,000  ",Wisconsin,WI,114
84,Russell Wilson,"$14,626,666  ",Wisconsin,WI,114
85,Russell Wilson,"$23,786,666  ",Wisconsin,WI,114
86,Andrew Whitworth,"$8,390,000  ",LSU,,112
87,Andrew Whitworth,"$8,390,000  ",LSU,,112
88,Andrew Whitworth,"$6,750,000  ",LSU,,112
89,Andrew Whitworth,"$6,750,000  ",LSU,,112
90,Andrew Whitworth,"$6,200,000  ",LSU,,112
91,Andrew Whitworth,"$7,200,000  ",LSU,,112
92,Andrew Whitworth,"$8,000,000  ",LSU,,112
93,Andrew Whitworth,"$9,166,666  ",LSU,,112
94,Andrew Whitworth,"$9,174,166  ",LSU,,112
95,Alex Smith,"$4,900,000  ",Utah,UT,111
96,Alex Smith,"$4,900,000  ",Stanford,CA,111
97,Alex Smith,"$685,000  ",Utah,UT,111
98,Alex Smith,"$685,000  ",Stanford,CA,111
99,Alex Smith,"$4,900,000  ",Utah,UT,111
100,Alex Smith,"$4,900,000  ",Stanford,CA,111
101,Alex Smith,"$685,000  ",Utah,UT,111
102,Alex Smith,"$685,000  ",Stanford,CA,111
103,Alex Smith,"$9,250,000  ",Utah,UT,111
104,Alex Smith,"$9,250,000  ",Stanford,CA,111
105,Alex Smith,"$850,000  ",Utah,UT,111
106,Alex Smith,"$850,000  ",Stanford,CA,111
107,Alex Smith,"$8,500,000  ",Utah,UT,111
108,Alex Smith,"$8,500,000  ",Stanford,CA,111
109,Alex Smith,"$4,600,000  ",Utah,UT,111
110,Alex Smith,"$4,600,000  ",Stanford,CA,111
