Year,state,av
2012,MY,2.0
2012,NC,2.9125
2012,ND,2.0
2012,NE,2.525
2012,NH,4.0
2012,NJ,2.68
2012,NM,4.090909090909091
2012,NV,2.588235294117647
2012,NY,2.9310344827586206
2012,OH,2.963636363636364
2012,OK,3.5135135135135136
2012,OR,2.5245901639344264
2012,PA,2.933333333333333
2012,RI,0.5
2012,SC,3.348148148148148
2012,SD,0.5
2012,TN,2.7432432432432434
2012,TX,2.937799043062201
2012,UT,3.411764705882353
2012,VA,2.8846153846153846
2012,WA,2.9722222222222223
2012,WI,3.607142857142857
2012,WV,1.7222222222222223
2012,WY,2.125
2012,australia,0.0
2012,canada,3.0
2013,AK,2.5454545454545454
2013,AL,4.144578313253012
2013,AR,2.409090909090909
2013,AZ,3.65625
2013,CA,3.1181102362204722
2013,CO,3.9545454545454546
2013,CT,2.3125
2013,DE,4.0
2013,FL,3.2948717948717947
2013,GA,4.430769230769231
2013,HI,2.3333333333333335
2013,IA,3.522727272727273
2013,ID,3.2083333333333335
2013,IL,3.051282051282051
2013,IN,3.5
2013,KA,3.8666666666666667
2013,KS,2.9166666666666665
2013,KY,3.4242424242424243
2013,LA,3.6625
2013,MA,4.703703703703703
2013,MD,4.3
2013,ME,1.75
2013,MI,3.481012658227848
2013,MN,3.6
2013,MO,2.5454545454545454
2013,MS,4.107142857142857
2013,MT,1.4545454545454546
2013,MY,0.0
2013,NC,3.189189189189189
2013,ND,2.0
2013,NE,3.5185185185185186
2013,NH,4.0
2013,NJ,2.6296296296296298
2013,NM,2.875
2013,NV,2.526315789473684
2013,NY,3.3636363636363638
2013,OH,3.4526315789473685
2013,OK,3.7419354838709675
2013,OR,3.207547169811321
2013,PA,3.6805555555555554
2013,RI,1.0
2013,SC,3.5798319327731094
2013,SD,2.5
2013,TN,4.092307692307692
2013,TX,3.257142857142857
2013,UT,3.9761904761904763
2013,VA,3.557377049180328
2013,WA,3.129032258064516
2013,WI,3.806451612903226
2013,WV,3.7777777777777777
2013,WY,1.8333333333333333
2013,canada,3.2
2014,AK,3.25
2014,AL,3.707070707070707
2014,AR,2.6666666666666665
2014,AZ,2.914285714285714
2014,CA,3.0476190476190474
2014,CO,3.9
2014,CT,2.6875
2014,DE,4.5
2014,FL,3.765432098765432
2014,GA,3.876923076923077
2014,HI,3.6666666666666665
2014,IA,3.627906976744186
2014,ID,3.8181818181818183
2014,IL,2.6666666666666665
2014,IN,3.365079365079365
2014,KA,4.583333333333333
2014,KS,4.818181818181818
2014,KY,3.0
2014,LA,3.4942528735632186
2014,MA,3.6363636363636362
2014,MD,3.5
2014,ME,0.0
2014,MI,4.160493827160494
2014,MN,1.5
2014,MO,3.6176470588235294
2014,MS,3.685185185185185
2014,MT,2.4545454545454546
2014,NC,3.090909090909091
2014,ND,2.3333333333333335
2014,NE,2.6785714285714284
2014,NH,5.0
2014,NJ,2.9523809523809526
2014,NM,3.0
2014,NV,3.2941176470588234
2014,NY,2.6666666666666665
2014,OH,3.7333333333333334
2014,OK,3.3174603174603177
2014,OR,2.7884615384615383
2014,PA,3.414285714285714
2014,RI,1.0
2014,SC,3.557377049180328
2014,SD,4.5
2014,TN,3.6142857142857143
2014,TX,3.2941176470588234
2014,UT,3.4761904761904763
2014,VA,2.6323529411764706
2014,WA,2.6129032258064515
2014,WI,4.303030303030303
2014,WV,3.9411764705882355
2014,WY,2.5714285714285716
2014,canada,3.6666666666666665
2015,AK,3.9
2015,AL,3.3917525773195876
2015,AR,2.380952380952381
2015,AZ,3.48
2015,CA,3.0161290322580645
2015,CO,2.608695652173913
2015,CT,1.6842105263157894
2015,DE,4.0
2015,FL,3.4790419161676644
2015,GA,4.515625
2015,HI,0.0
2015,IA,3.2083333333333335
2015,ID,4.0476190476190474
2015,IL,2.206896551724138
2015,IN,3.5714285714285716
2015,KA,3.0
2015,KS,3.5714285714285716
2015,KY,4.05
2015,LA,3.606741573033708
2015,MA,4.0
2015,MD,2.5454545454545454
2015,ME,1.3333333333333333
2015,MI,4.083333333333333
2015,MN,1.6923076923076923
2015,MO,3.59375
2015,MS,3.9215686274509802
2015,MT,2.6
2015,MY,0.0
2015,NC,3.5135135135135136
2015,ND,2.2857142857142856
2015,NE,4.086956521739131
2015,NH,7.0
2015,NJ,2.4347826086956523
2015,NM,3.5
2015,NV,4.636363636363637
2015,NY,3.4642857142857144
2015,OH,3.4
2015,OK,3.169230769230769
2015,OR,2.9464285714285716
2015,PA,4.303030303030303
2015,RI,0.5
2015,SC,3.775
2015,SD,1.5
2015,TN,3.1515151515151514
2015,TX,3.345679012345679
2015,UT,3.5813953488372094
2015,VA,2.8
2015,WA,3.5833333333333335
2015,WI,3.8181818181818183
2015,WV,3.5
2015,WY,2.4285714285714284
2015,canada,3.4
2016,AK,3.090909090909091
2016,AL,3.752577319587629
2016,AR,2.391304347826087
2016,AZ,3.185185185185185
2016,CA,3.2704918032786887
2016,CO,3.090909090909091
2016,CT,2.7857142857142856
2016,DE,3.25
2016,FL,3.606451612903226
2016,GA,4.112903225806452
2016,HI,1.0
2016,IA,4.666666666666667
2016,ID,3.727272727272727
2016,IL,3.2916666666666665
2016,IN,3.619047619047619
2016,KA,3.6363636363636362
2016,KS,4.333333333333333
2016,KY,3.2
2016,LA,3.611111111111111
2016,MA,3.4285714285714284
2016,MD,3.0869565217391304
2016,ME,0.0
2016,MI,3.9761904761904763
2016,MN,2.4166666666666665
2016,MO,2.942857142857143
2016,MS,4.4375
2016,MT,1.25
2016,MY,0.0
2016,NC,3.3220338983050848
2016,ND,4.142857142857143
2016,NE,4.142857142857143
2016,NH,5.0
2016,NJ,3.0434782608695654
2016,NM,2.0
2016,NV,4.5
2016,NY,3.0416666666666665
2016,OH,3.881720430107527
2016,OK,4.037037037037037
2016,OR,3.3773584905660377
2016,PA,3.927536231884058
2016,RI,0.5
2016,SC,3.5892857142857144
2016,SD,3.25
2016,TN,3.3666666666666667
2016,TX,3.2181818181818183
2016,UT,3.2653061224489797
2016,VA,2.7450980392156863
2016,WA,2.806451612903226
2016,WI,4.258064516129032
2016,WV,3.409090909090909
2016,WY,2.6666666666666665
2016,canada,3.6
2017,AK,2.625
2017,AL,3.6989247311827955
2017,AR,2.5217391304347827
2017,AZ,3.923076923076923
2017,CA,3.6850393700787403
2017,CO,3.375
2017,CT,1.7692307692307692
2017,DE,3.3333333333333335
2017,FL,3.6962025316455698
2017,GA,4.344827586206897
2017,HI,2.0
2017,IA,3.5945945945945947
2017,ID,4.095238095238095
2017,IL,2.1818181818181817
2017,IN,3.9833333333333334
2017,KA,2.727272727272727
2017,KS,4.375
2017,KY,3.475
2017,LA,3.876543209876543
2017,MA,3.4814814814814814
2017,MD,2.7
2017,ME,1.0
2017,MI,4.096385542168675
2017,MN,3.3636363636363638
2017,MO,3.0277777777777777
2017,MS,3.6296296296296298
2017,MT,2.3333333333333335
2017,MY,0.0
2017,NC,3.3484848484848486
2017,ND,4.75
2017,NE,3.272727272727273
2017,NH,2.0
2017,NJ,2.4285714285714284
2017,NM,2.3333333333333335
2017,NV,3.7142857142857144
2017,NY,2.8
2017,OH,3.978723404255319
2017,OK,3.1864406779661016
2017,OR,2.9444444444444446
2017,PA,3.515151515151515
2017,RI,0.5
2017,SC,3.736842105263158
2017,SD,3.0
2017,TN,3.719298245614035
2017,TX,3.16875
2017,UT,3.5098039215686274
2017,VA,2.3260869565217392
2017,WA,2.8974358974358974
2017,WI,3.8529411764705883
2017,WV,3.0869565217391304
2017,WY,3.2222222222222223
2017,canada,5.4
2018,AK,3.4285714285714284
2018,AL,4.225
2018,AR,2.9411764705882355
2018,AZ,4.368421052631579
2018,CA,4.10091743119266
2018,CO,4.1
2018,CT,2.3
2018,DE,4.5
2018,FL,3.276595744680851
2018,GA,4.3125
2018,HI,3.0
2018,IA,4.0606060606060606
2018,ID,3.227272727272727
2018,IL,2.533333333333333
2018,IN,4.431372549019608
2018,KA,4.111111111111111
2018,KS,7.5
2018,KY,4.103448275862069
2018,LA,3.985294117647059
2018,MA,4.130434782608695
2018,MD,2.8125
2018,ME,0.5
2018,MI,3.8955223880597014
2018,MN,3.888888888888889
2018,MO,3.0
2018,MS,4.659090909090909
