player,war,year,id,college,state,percentile
Rex Brothers,0.0,2011,brothre01,Lipscomb University,TN,74.22502870264064
Mark Buehrle,0.0,2011,buehrma01,Jefferson College,MO,74.22502870264064
Jay Buente,0.0,2011,buentja01,Purdue University,IN,74.22502870264064
Brian Burres,0.0,2011,burrebr01,Mount Hood Community College,OR,74.22502870264064
Jared Burton,0.0,2011,burtoja01,Western Carolina University,NC,74.22502870264064
Dave Bush,0.0,2011,bushda01,Wake Forest University,NC,74.22502870264064
Tim Byrdak,0.0,2011,byrdati01,Rice University,TX,74.22502870264064
Shawn Camp,0.0,2011,campsh01,George Mason University,VA,74.22502870264064
Drew Carpenter,0.0,2011,carpean01,Sacramento City College,CA,74.22502870264064
Chris Carpenter,0.0,2011,carpech02,Kent State University,OH,74.22502870264064
David Carpenter,0.0,2011,carpeda01,West Virginia University,WV,74.22502870264064
D.J. Carrasco,0.0,2011,carradj01,Pima Community College,AZ,74.22502870264064
Andrew Cashner,0.0,2011,cashnan01,Texas Christian University,TX,73.13432835820896
Randy Choate,0.0,2011,choatra01,Florida State University,FL,73.13432835820896
Steve Cishek,0.0,2011,cishest01,Carson-Newman College,TN,73.13432835820896
Phil Coke,0.0,2011,cokeph01,San Joaquin Delta College,CA,73.13432835820896
Louis Coleman,0.0,2011,colemlo01,Louisiana State University,LA,73.13432835820896
Josh Collmenter,0.0,2011,collmjo01,Central Michigan University,MI,73.13432835820896
Ryan Cook,0.0,2011,cookry01,University of Southern California,CA,73.13432835820896
Lance Cormier,0.0,2011,cormila01,University of Alabama,AL,73.13432835820896
Jesse Crain,0.0,2011,crainje01,University of Houston,TX,73.13432835820896
Michael Crotta,0.0,2011,crottmi01,Florida Atlantic University,FL,73.13432835820896
Aaron Crow,0.0,2011,crowaa01,University of Missouri Columbia,MO,73.13432835820896
Trevor Crowe,0.0,2011,crowetr01,University of Arizona,AZ,73.13432835820896
Matt Daley,0.0,2011,daleyma01,Bucknell University,PA,73.13432835820896
Sam Demel,0.0,2011,demelsa01,Texas Christian University,TX,73.13432835820896
Joey Devine,0.0,2011,devinjo01,North Carolina State University,NC,73.13432835820896
Mark DiFelice,0.0,2011,difelma01,Western Carolina University,NC,73.13432835820896
Tim Dillard,0.0,2011,dillati01,Itawamba Community College,MS,73.13432835820896
Scott Downs,0.0,2011,downssc01,University of Kentucky,KY,73.13432835820896
Phil Dumatrait,0.0,2011,dumatph01,Bakersfield College,CA,73.13432835820896
Steve Edlefsen,0.0,2011,edlefst01,University of Nebraska at Lincoln,NE,71.699196326062
Eric Farris,0.0,2011,farrier01,Loyola Marymount University,CA,71.699196326062
Mike Fiers,0.0,2011,fiersmi01,Nova Southeastern University,FL,71.699196326062
Nelson Figueroa,0.0,2011,figuene01,Brandeis University,MA,71.699196326062
Ryan Franklin,0.0,2011,frankry01,Seminole State College,OK,71.699196326062
Jason Frasor,0.0,2011,frasoja01,Southern Illinois University Carbondale,IL,71.699196326062
