state,year,per,war,av,per_spend_discrepancy,war_spend_discrepancy,av_spend_discrepancy,per_spend,war_spend,av_spend
NM,2013,4,0,2.875,357452,490500,3961520.667,357452,0,3961520.667
NY,2013,9.109090909,0.25,3.363636364,4917621.667,3270559.714,2720078.385,4917621.667,3270559.714,2720078.385
NC,2013,13.10869565,1.1,3.189189189,6326098,1992380.882,3016402.636,6326098,1992380.882,3016402.636
ND,2013,0,0,2,0,490000,1622416.333,0,0,1622416.333
OH,2013,12.85384615,1,3.452631579,3708279.75,2835625,3143183.412,3708279.75,2835625,3143183.412
OK,2013,11.425,0.716666667,3.741935484,7283994,3120803.571,4094839.839,7283994,3120803.571,4094839.839
OR,2013,12.22,5.7,3.20754717,1750232.333,2966583.333,2662654,1750232.333,2966583.333,2662654
PA,2013,11.4,1.12,3.680555556,3230613.25,1349643.571,4111529.784,3230613.25,1349643.571,4111529.784
RI,2013,13.3,0,1,1489437.333,1500000,1049000,1489437.333,0,1049000
SC,2013,8.925,1.542857143,3.579831933,3725856.667,1575181.25,3220373.284,3725856.667,1575181.25,3220373.284
SD,2013,0,0,2.5,0,490000,3400000,0,0,3400000
TN,2013,8.885714286,2.383333333,4.092307692,3123796.2,3210789.294,3563304.824,3123796.2,3210789.294,3563304.824
TX,2013,12.80454545,1.991304348,3.257142857,4002674.118,3796789.286,2782407.176,4002674.118,3796789.286,2782407.176
UT,2013,12.9,0,3.976190476,4677044,5000000,3771168.667,4677044,0,3771168.667
VT,2013,0,0,0,0,0,0,0,0,0
VA,2013,13.97142857,1.333333333,3.557377049,2283996.8,5326350,3735766.257,2283996.8,5326350,3735766.257
WA,2013,7.25,0.4,3.129032258,2836368.9,11371050,2457143.529,2836368.9,11371050,2457143.529
WV,2013,8.7,2.3,3.777777778,0,492750,2402424.5,0,492750,2402424.5
WI,2013,13.5,0,3.806451613,4766601.286,5350000,2402150.063,4766601.286,0,2402150.063
WY,2013,0,0,1.833333333,0,0,1436679.333,0,0,1436679.333
AL,2014,4.88,2.416666667,3.707070707,6007032.667,4888651.167,3331245.49,6007032.667,4888651.167,3331245.49
AK,2014,0,0,3.25,0,0,1045982.6,0,0,1045982.6
AZ,2014,11.15454545,2.522222222,2.914285714,6740652.444,5633911.067,3792131.125,6740652.444,5633911.067,3792131.125
AR,2014,8.76,0.925,2.666666667,915243,4697233.333,1990241.9,915243,4697233.333,1990241.9
CA,2014,13.74081633,1.490322581,3.047619048,5604971.189,3726030.049,3015611.604,5604971.189,3726030.049,3015611.604
CO,2014,13.2,0.1,3.9,2748785.333,8275000,4353019.643,2748785.333,8275000,4353019.643
CT,2014,13.62222222,1.5,2.6875,5667154.833,1865333.333,1853169.3,5667154.833,1865333.333,1853169.3
DC,2014,13.26666667,0,0,4490926.4,0,0,4490926.4,0,0
DE,2014,0,0,4.5,0,0,0,0,0,0
FL,2014,11.315,2.705263158,3.765432099,4726757,3922679.121,3468495.849,4726757,3922679.121,3468495.849
GA,2014,14.175,1.783333333,3.876923077,7277119.75,4270208.667,4892975.243,7277119.75,4270208.667,4892975.243
HI,2014,0,2.3,3.666666667,0,502000,1859375,0,502000,1859375
ID,2014,0,0,3.818181818,0,3000000,2538334.385,0,0,2538334.385
