k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
1213,Will Smith\smithwi04,0.0,2012,2019,22-29,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,KCR-MIL-SFG
1214,Chad Sobotka\sobotch01,0.0,2018,2019,24-25,26,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,/*1,ATL
1215,Joakim Soria\soriajo01,0.0,2011,2019,27-35,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,KCR-TEX-DET-PIT-MIL-CHW-OAK
1216,Glenn Sparkman\sparkgl01,0.0,2017,2019,25-27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR-KCR
1217,Jeffrey Springs\sprinje01,0.0,2018,2019,25-26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX
1218,Ryne Stanek\stanery01,0.0,2017,2019,25-27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TBR
1219,Drew Steckenrider\steckdr01,0.0,2017,2019,26-28,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,MIA
1220,Brock Stewart\stewabr01,0.0,2016,2019,24-27,35,20,19,1,3,1,0,0,1,0,0,11,0,1,0,0,0,0,.158,.158,.211,.368,/*1,LAD
1221,DJ Stewart\stewadj01,0.0,2018,2019,24-25,24,72,64,8,14,3,0,3,10,5,0,20,2,0,1,0,3,1,.219,.292,.406,.698,/*97HD,BAL
1222,Robert Stock\stockro01,0.0,2018,2019,28-29,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP
1223,Garrett Stubbs\stubbga01,0.0,2019,2019,26-26,5,18,17,1,4,1,0,0,1,1,0,2,0,0,0,0,1,0,.235,.278,.294,.572,/*2H,HOU
1224,Daniel Stumpf\stumpda01,0.0,2016,2019,25-28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,PHI-DET
1225,Mike Tauchman\tauchmi01,0.0,2017,2019,26-28,87,180,157,23,30,8,1,4,15,22,0,59,0,1,0,6,3,2,.191,.291,.331,.622,/H798,COL-NYY
1226,Rowdy Tellez\tellero01,0.0,2018,2019,23-24,79,278,260,31,65,18,0,14,43,13,1,78,3,0,2,6,1,0,.250,.291,.481,.772,/3DH,TOR
1227,Jesus Tinoco\tinocje01,0.0,2019,2019,24-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,COL
1228,Lou Trivino\trivilo01,0.0,2018,2019,26-27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,OAK
1229,Nick Tropeano\tropeni01,0.0,2014,2019,23-28,18,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000,.250,.000,.250,/*1,HOU-LAA
1230,Jason Vargas\vargaja01,0.0,2011,2019,28-36,34,60,53,4,8,0,0,0,1,2,0,19,0,5,0,0,0,0,.151,.182,.151,.333,*1/H,SEA-LAA-KCR-NYM
1231,Andrew Vasquez\vasquan02,0.0,2018,2019,24-25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIN
1232,Jonny Venters\ventejo01,0.0,2011,2019,26-34,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,ATL-TBR
1233,Arodys Vizcaino\vizcaar01,0.0,2011,2019,20-28,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,ATL-CHC
1234,Wei-Chung Wang\wangwe01,0.0,2014,2019,22-27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIL-OAK
1235,J.B. Wendelken\wendejb01,0.0,2016,2019,23-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,OAK
1236,Rowan Wick\wickro01,0.0,2018,2019,25-26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP-CHC
1237,Austen Williams\williau01,0.0,2018,2019,25-26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,WSN
1238,Taylor Williams\willita01,0.0,2017,2019,25-27,64,5,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,.200,.200,.200,.400,/*1,MIL
1239,Alex Wilson\wilsoal01,0.0,2013,2019,26-32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,BOS-DET-MIL
1240,Trey Wingenter\wingetr01,0.0,2018,2019,24-25,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP
1241,Dan Winkler\winklda01,0.0,2015,2019,25-29,112,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,*1,ATL
1242,Daniel Zamora\zamorda01,0.0,2018,2019,25-26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM
1243,Jason Adam\adamja01,0.0,2018,2018,26-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,KCR
1244,Miguel Almonte\almonmi01,0.0,2015,2018,22-25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,KCR-LAA
1245,Francisco Arcia\arciafr01,0.0,2018,2018,28-28,40,106,103,10,21,5,0,6,23,1,0,27,2,0,0,4,1,0,.204,.226,.427,.654,/*2H1D3,LAA
1246,Danny Barnes\barneda02,0.0,2016,2018,26-28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TOR
1247,Tony Barnette\barneto01,0.0,2016,2018,32-34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TEX
1248,Jeff Beliveau\belivje01,0.0,2012,2018,25-31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHC-TBR-TOR-CLE
1249,Chad Bell\bellch02,0.0,2017,2018,28-29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET
1250,Ray Black\blackra01,0.0,2018,2018,28-28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SFG
1251,Jeremy Bleich\bleicje01,0.0,2018,2018,31-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,OAK
1252,Christopher Bostick\bostich01,0.0,2017,2018,24-25,35,50,43,6,11,3,0,0,3,6,0,16,1,0,0,0,0,1,.256,.360,.326,.686,/*H47,PIT-MIA
1253,Parker Bridwell\bridwpa01,0.0,2016,2018,24-26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BAL-LAA
1254,Alan Busenitz\busenal01,0.0,2017,2018,26-27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIN
1255,Matt Bush\bushma01,0.0,2016,2018,30-32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,TEX
1256,Jose Castillo\castijo03,0.0,2018,2018,22-22,34,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,/*1,SDP
1257,Tyler Cloyd\cloydty01,0.0,2012,2018,25-31,23,39,32,3,3,1,0,0,1,5,0,9,0,2,0,1,0,0,.094,.216,.125,.341,/*1,PHI-SEA-MIA
1258,P.J. Conlon\conlopj01,0.0,2018,2018,24-24,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,.667,/*1,NYM
1259,Ryan Cook\cookry01,0.0,2011,2018,24-31,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,ARI-OAK-BOS-SEA
1260,Kyle Crockett\crockky01,0.0,2014,2018,22-26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CLE-CIN
1261,William Cuevas\cuevawi01,0.0,2016,2018,25-27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BOS-DET
1262,Zac Curtis\curtiza01,0.0,2016,2018,23-25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI-PHI-SEA-TEX
1263,Randall Delgado\delgara01,0.0,2011,2018,21-28,257,100,87,5,14,0,0,0,2,1,0,36,0,12,0,2,0,0,.161,.170,.161,.331,*1/H,ATL-ARI
1264,Danny Farquhar\farquda01,0.0,2011,2018,24-31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1/H,TOR-SEA-TBR-CHW
1265,Nick Gardewine\gardeni01,0.0,2017,2018,23-24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX
1266,Koda Glover\gloveko01,0.0,2016,2018,23-25,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,WSN
1267,Merandy Gonzalez\gonzame01,0.0,2018,2018,22-22,7,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250,.250,.250,.500,/*1,MIA
1268,Daniel Gossett\gosseda01,0.0,2017,2018,24-25,8,7,5,1,1,0,0,0,0,0,0,4,0,2,0,0,0,0,.200,.200,.200,.400,/*1,OAK
1269,Javy Guerra\guerrja02,0.0,2018,2018,22-22,13,19,16,2,2,0,0,0,1,3,0,9,0,0,0,0,0,0,.125,.263,.125,.388,/*6H5,SDP
1270,Taylor Guerrieri\guerrta02,0.0,2018,2018,25-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1271,Preston Guilmet\guilmpr01,0.0,2013,2018,25-30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CLE-BAL-MIL-TBR-STL-TOR
1272,Justin Haley\haleyju01,0.0,2017,2018,26-27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIN-BOS
1273,Matt Hall\hallma02,0.0,2018,2018,24-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET
1274,Eric Hanhold\hanhoer01,0.0,2018,2018,24-24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM
1275,Chris Hatcher\hatchch02,0.0,2011,2018,26-33,182,6,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.167,.167,.167,.333,*1/H,FLA-MIA-LAD-OAK
1276,Sam Howard\howarsa01,0.0,2018,2018,25-25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,COL
1277,Gregory Infante\infangr01,0.0,2017,2018,29-30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHW
1278,Kevin Jepsen\jepseke01,0.0,2011,2018,26-33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAA-TBR-MIN-TEX
1279,Dean Kiekhefer\kiekhde01,0.0,2016,2018,27-29,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,/*1,STL-OAK
1280,Corey Knebel\knebeco01,0.0,2014,2018,22-26,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,DET-MIL
1281,Joey Krehbiel\krehbjo01,0.0,2018,2018,25-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ARI
1282,Braxton Lee\leebr01,0.0,2018,2018,24-24,8,18,17,0,3,0,0,0,2,1,0,8,0,0,0,0,0,0,.176,.222,.176,.399,/*9H7,MIA
1283,Artie Lewicki\lewicar01,0.0,2017,2018,25-26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET
1284,Jose Lobaton\lobatjo01,0.0,2011,2018,26-33,406,1261,1117,109,241,47,4,21,107,121,5,288,7,7,9,34,0,2,.216,.294,.321,.616,*2/HD,TBR-WSN-NYM
1285,Walker Lockett\lockewa01,0.0,2018,2018,24-24,4,5,4,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,.000,.200,.000,.200,/*1,SDP
1286,Boone Logan\loganbo02,0.0,2011,2018,26-33,182,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,*1,NYY-COL-CLE-MIL
1287,Cory Mazzoni\mazzoco01,0.0,2015,2018,25-28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP-CHC
1288,Adam McCreery\mccread01,0.0,2018,2018,25-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL
1289,Ryan Meisinger\meisiry01,0.0,2018,2018,24-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BAL
1290,Keynan Middleton\middlke01,0.0,2017,2018,23-24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAA
1291,Alec Mills\millsal02,0.0,2016,2018,24-26,7,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.200,.200,.200,.400,/*1,KCR-CHC
1292,Jordan Montgomery\montgjo01,0.0,2017,2018,24-25,8,5,3,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,.000,.400,.000,.400,/*1,NYY
1293,Akeel Morris\morriak01,0.0,2015,2018,22-25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM-ATL-LAA
1294,Gabriel Moya\moyaga01,0.0,2017,2018,22-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIN
1295,Peter Moylan\moylape01,0.0,2011,2018,32-39,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,ATL-LAD-KCR
1296,Vidal Nuno III\nunovi01,0.0,2013,2018,25-30,24,35,28,2,4,0,0,0,2,0,0,8,1,6,0,1,0,0,.143,.172,.143,.315,*1,NYY-ARI-SEA-BAL-TBR
1297,Eduardo Paredes\pareded01,0.0,2017,2018,22-23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAA
1298,Edward Paredes\pareded02,0.0,2017,2018,30-31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAD
1299,James Pazos\pazosja01,0.0,2015,2018,24-27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,NYY-SEA
1300,CD Pelham\pelhacd01,0.0,2018,2018,23-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX
1301,Brooks Pounders\poundbr01,0.0,2016,2018,25-27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,KCR-LAA-COL
1302,Jose Ramirez\ramirjo02,0.0,2014,2018,24-28,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,NYY-SEA-ATL
1303,AJ Ramos\ramosaj01,0.0,2012,2018,25-31,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,MIA-NYM
1304,Jesus Reyes\reyesje01,0.0,2018,2018,25-25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CIN
1305,Bruce Rondon\rondobr01,0.0,2013,2018,22-27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,DET-CHW
1306,Fernando Salas\salasfe01,0.0,2011,2018,26-33,269,7,7,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,.143,.143,.143,.286,*1,STL-LAA-NYM-ARI
1307,Edgar Santana\santaed01,0.0,2017,2018,25-26,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PIT
1308,Luis Santos\santolu01,0.0,2017,2018,26-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1309,Robby Scott\scottro02,0.0,2016,2018,26-28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BOS
1310,Kevin Shackelford\shackke01,0.0,2017,2018,28-29,30,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250,.250,.250,.500,/*1,CIN
1311,Ryan Sherriff\sherrry01,0.0,2017,2018,27-28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,STL
1312,James Shields\shielja02,0.0,2011,2018,29-36,58,127,118,10,18,3,0,0,5,1,0,51,0,8,0,1,0,0,.153,.160,.178,.338,*1/H,TBR-KCR-SDP-CHW
1313,Matt Skole\skolema01,0.0,2018,2018,28-28,4,13,11,2,3,0,0,1,1,2,0,3,0,0,0,0,0,0,.273,.385,.545,.930,/*D3,CHW
1314,Carson Smith\smithca02,0.0,2014,2018,24-28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SEA-BOS
1315,Drew Smith\smithdr01,0.0,2018,2018,24-24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM
1316,Joe Smith\smithjo05,0.0,2011,2018,27-34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CLE-LAA-CHC-TOR-HOU
1317,Murphy Smith\smithmu01,0.0,2018,2018,30-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1318,Sammy Solis\solissa01,0.0,2015,2018,26-29,136,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.200,.200,.200,.400,*1,WSN
1319,Ben Taylor\taylobe10,0.0,2017,2018,24-25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BOS-CLE
1320,Sam Tuivailala\tuivasa01,0.0,2014,2018,21-25,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,STL-SEA
1321,Jose Valdez\valdejo03,0.0,2015,2018,25-28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET-LAA-SDP-SFG
1322,Jerry Vasto\vastoje01,0.0,2018,2018,26-26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,COL-KCR
1323,Bobby Wahl\wahlbo01,0.0,2017,2018,25-26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,OAK-NYM
1324,Zack Weiss\weissza01,0.0,2018,2018,26-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CIN
1325,Rob Whalen\whalero01,0.0,2016,2018,22-24,7,11,10,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,.200,.200,.200,.400,/*1H,ATL-SEA
1326,Chase Whitley\whitlch01,0.0,2014,2018,25-29,8,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,/*1,NYY-TBR-ATL
1327,Mike Zagurski\zagurmi01,0.0,2011,2018,28-35,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,PHI-ARI-PIT-NYY-MIL
1328,Al Alburquerque\albural01,0.0,2011,2017,25-31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,DET-LAA-KCR-CHW
1329,Dario Alvarez\alvarda01,0.0,2014,2017,25-28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM-ATL-TEX
1330,Andrew Bailey\bailean01,0.0,2011,2017,27-33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,OAK-BOS-NYY-PHI-LAA
1331,Pedro Beato\beatope01,0.0,2011,2017,24-30,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM-BOS-ATL-PHI
1332,Joaquin Benoit\benoijo01,0.0,2011,2017,33-39,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,DET-SDP-TOR-SEA-PIT-PHI
1333,Michael Blazek\blazemi01,0.0,2013,2017,24-28,103,6,6,1,1,1,0,0,1,0,0,3,0,0,0,1,0,0,.167,.167,.333,.500,*1/H,STL-MIL
1334,Buddy Boshers\boshebu01,0.0,2013,2017,25-29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAA-MIN
1335,Jonathan Broxton\broxtjo01,0.0,2011,2017,27-33,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,LAD-CIN-KCR-MIL-STL
1336,Jamie Callahan\callaja01,0.0,2017,2017,22-22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM
1337,Leonel Campos\campole01,0.0,2014,2017,26-29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP-TOR
1338,Fabio Castillo\castifa01,0.0,2017,2017,28-28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAD
1339,Simon Castro\castrsi01,0.0,2013,2017,25-29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHW-COL-OAK
1340,Hunter Cervenka\cervehu01,0.0,2016,2017,26-27,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIA-ATL
1341,Alejandro Chacin\chacial01,0.0,2017,2017,24-24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CIN
1342,Preston Claiborne\claibpr01,0.0,2013,2017,25-29,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,/*1,NYY-TEX
1343,Jarred Cosart\cosarja01,0.0,2013,2017,23-27,44,66,58,2,7,0,0,0,1,0,0,22,0,8,0,1,0,0,.121,.121,.121,.241,/*1H,HOU-MIA-SDP
1344,Matt Dermody\dermoma01,0.0,2016,2017,25-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1345,Dayan Diaz\diazda01,0.0,2016,2017,27-28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CIN-HOU
1346,Dietrich Enns\ennsdi01,0.0,2017,2017,26-26,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,/*1,MIN
1347,Jake Esch\eschja01,0.0,2016,2017,26-27,4,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.200,.200,.200,.400,/*1,MIA-SDP
1348,Paolo Espino\espinpa01,0.0,2017,2017,30-30,6,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,.250,.250,.250,.500,/*1,MIL-TEX
1349,Jeff Ferrell\ferreje01,0.0,2015,2017,24-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,DET
1350,Casey Fien\fienca01,0.0,2012,2017,28-33,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,MIN-LAD-PHI-SEA
1351,Seth Frankoff\frankse01,0.0,2017,2017,28-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,CHC
1352,Ernesto Frieri\frierer01,0.0,2011,2017,25-31,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SDP-LAA-PIT-TBR-TEX
1353,Onelki Garcia\garcion01,0.0,2013,2017,23-27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,LAD-KCR
1354,David Holmberg\holmbda01,0.0,2013,2017,21-25,18,20,14,2,1,0,0,0,0,2,0,8,1,3,0,0,0,0,.071,.235,.071,.307,/*1,ARI-CIN-CHW
1355,Jason Hursh\hurshja01,0.0,2016,2017,24-25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,ATL
1356,Tommy Layne\layneto01,0.0,2012,2017,27-32,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,SDP-BOS-NYY
1357,Jack Leathersich\leathja01,0.0,2015,2017,24-26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYM-PIT-CHC
1358,Damien Magnifico\magnida01,0.0,2016,2017,25-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,MIL-LAA
1359,Francis Martes\martefr01,0.0,2017,2017,21-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,HOU
1360,Cody Martin\martico01,0.0,2015,2017,25-27,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,/*1,ATL-OAK-SEA
1361,Nick Martinez\martini01,0.0,2014,2017,23-26,9,11,10,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,.000,.091,.000,.091,/*1H,TEX
